,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.979023,-7.581278,366651,192186.6375881912,240265.64221194215,7503,0.04997746003851297,0.03997658554745533,0.026079886,0.00029987303995604887,4.18674e-05,0.02619657385361011,0.03917453357044185
1,-7.581278,-7.6955357,548162,538466.1104769798,543131.6055319235,7503,0.01767242137405939,0.017520615451351564,0.017263653,1.7808371427240167e-06,1.6921836e-06,0.017359831582634332,0.025709195169784937
2,-7.6955357,-7.7704782,671039,679029.2283777023,681558.2738963262,7503,0.014143721063296975,0.014091238222516086,0.014011044,4.939502908840701e-07,4.845136e-07,0.014312133870013516,0.02144517124386569
3,-7.7704782,-7.8297834,802525,793129.237287363,794978.6740211061,7503,0.012101432589759008,0.01207327984215232,0.012034016,2.2686152585330574e-07,2.2441489e-07,0.011959752032646959,0.018022130525517155
4,-7.8297834,-7.8778567,886468,895313.0533657601,896684.676773478,7503,0.010685647845783854,0.010669302429059833,0.010648068,1.1635185378769034e-07,1.1565584e-07,0.01079226774119314,0.016187555980046665
5,-7.8778567,-7.9201045,996957,1000835.495580916,1002019.6199954399,7503,0.009626956720202601,0.009615580181996684,0.009601707,7.297115208222662e-08,7.266197e-08,0.009664408795966126,0.014610342694068917
6,-7.9201045,-7.957492,1084683,1089926.4566935254,1090936.3034958455,7503,0.008781326429156727,0.008773197820377098,0.008763868,4.756461997898975e-08,4.737525e-08,0.008823776163173942,0.013235708163898819
7,-7.957492,-7.9919286,1195443,1178978.2121645343,1179904.9292708791,7503,0.008083270667490525,0.008076921931234791,0.008070027,3.419893355038945e-08,3.4115324e-08,0.007971940109231473,0.01188515672496223
8,-7.9919286,-8.023391,1278707,1278078.4143054213,1278916.9553851422,7503,0.007491715604322749,0.0074868035486452015,0.007481847,2.4525106682198318e-08,2.4456137e-08,0.007488032833166628,0.011248317312427656
9,-8.023391,-8.052528,1363861,1355243.7014358337,1356006.3200617782,7503,0.006986197382779925,0.006982268341912041,0.0069784108,1.8294224231321985e-08,1.8276438e-08,0.006942056411907078,0.010241712762438447
10,-8.052528,-8.080167,1467222,1450538.937330753,1451273.3401449523,7503,0.006543774700365473,0.006540463286572842,0.0065372665,1.444244204533718e-08,1.4417805e-08,0.006469368643599946,0.009587228621732054
11,-8.080167,-8.106545,1574011,1542054.5121462147,1542765.6913048902,7503,0.0061489395642719885,0.0061461050459191945,0.0061435993,1.1616843198668756e-08,1.1603666e-08,0.006024100212768526,0.008926798784622552
12,-8.106545,-8.131653,1669882,1645440.9957246825,1646128.4706517882,7503,0.0057947990993141695,0.005792379009291174,0.0057903053,9.347338045103715e-09,9.340049e-09,0.0057099842982917355,0.008514706607841625
13,-8.131653,-8.155047,1715814,1758463.2481843098,1759101.1173649346,7503,0.00547978469834362,0.005477797668865309,0.005476171,7.257679724885735e-09,7.242535e-09,0.005615993341935664,0.008573122895696799
14,-8.155047,-8.177787,1827172,1837488.4173815888,1838118.1398727617,7503,0.005196223230405909,0.005194443051773012,0.005193088,6.1657473656976605e-09,6.1581513e-09,0.005225561687679102,0.007816508975075166
15,-8.177787,-8.200176,1961336,1925163.389448821,1925803.004102191,7503,0.004933087784678377,0.00493144936411993,0.0049302853,5.387420154719291e-09,5.3823346e-09,0.0048421076245987425,0.007195612839355004
16,-8.200176,-8.221393,2016545,2061011.1334178946,2061626.007807441,7503,0.004691386593320015,0.004689987399937331,0.0046890033,4.375452137283101e-09,4.3691535e-09,0.0047948347296985685,0.007339602509737469
17,-8.221393,-8.242162,2129587,2132012.9489439023,2132622.469113157,7503,0.004469954089500586,0.004468676541686731,0.0044677565,3.806509340577027e-09,3.8048324e-09,0.004475046100488029,0.006685499493874798
18,-8.242162,-8.262399,2231087,2243085.503065304,2243694.3355227644,7503,0.004263769698894781,0.0042626127135858985,0.004261816,3.2882997297201794e-09,3.286588e-09,0.004286699711844495,0.006454702126791075
19,-8.262399,-8.282071,2322816,2352517.894731112,2353121.297515113,7503,0.004072232573217036,0.004071188344653734,0.004070505,2.834530908475218e-09,2.8316576e-09,0.00412430429272056,0.006183222934952978
20,-8.282071,-8.301529,2453466,2448092.643819137,2448706.936914328,7503,0.0038928265333671207,0.003891849962253536,0.003891213,2.534096731408234e-09,2.5326699e-09,0.0038843008217762137,0.0058068799865857
21,-8.301529,-8.320531,2550804,2560566.886831361,2561179.6486123283,7503,0.0037241753179900593,0.003723284309699515,0.0037227555,2.2119160905880796e-09,2.2116105e-09,0.0037384291384206705,0.005600724453833388
22,-8.320531,-8.339624,2724459,2682097.17193436,2682745.2168259383,7503,0.00356437496002623,0.0035635139483393857,0.0035630267,2.045731884209777e-09,2.0452895e-09,0.0035089535206806197,0.005258458433157663
23,-8.339624,-8.357763,2742567,2784403.795237919,2785010.9656351665,7503,0.0034147346071935554,0.0034139901484486787,0.0034135974,1.6945679535653948e-09,1.6938847e-09,0.0034668250584215443,0.005181655517383724
24,-8.357763,-8.37607,2925680,2911039.6852153796,2911686.272632879,7503,0.003274431485222007,0.003273704344314792,0.0032733106,1.5871391425517127e-09,1.5863615e-09,0.003258045992726477,0.0048655164972236644
