,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-7.075788,-7.589819,387924,228839.54335696463,270095.75338190194,587,0.0026219244768552336,0.002221434407936173,0.0016011476,6.465723778566182e-07,1.5281714e-07,0.0015466947133974695,0.001611325886441575
1,-7.589819,-7.6944494,514692,539356.0458337615,543273.991345438,587,0.001097605198964367,0.0010896895662792366,0.0010762932,5.771273978592289e-09,5.535888e-09,0.001150202451174683,0.0011683085809550266
2,-7.6944494,-7.7692046,667242,669930.6178490267,672413.3049991986,587,0.0008896443663279659,0.0008863596177662045,0.00088128523,1.9445755108119543e-09,1.9082576e-09,0.0008932291432493757,0.0009194080040384498
3,-7.7692046,-7.829645,819246,787705.9744909252,789613.7946705348,587,0.0007604360248595535,0.0007585987023566779,0.00075603946,9.303188956546472e-10,9.194159e-10,0.000731160115520857,0.0007599207504105031
4,-7.829645,-7.8775067,885650,885658.7463187443,887003.6515493921,587,0.0006706872172481457,0.0006696702983831217,0.0006683645,4.54344947840715e-10,4.508862e-10,0.000670693840681985,0.0006860516093926889
5,-7.8775067,-7.918938,980075,988536.6351818719,989661.4377148354,587,0.0006049345858486867,0.00060424704571778,0.0006034401,2.771202990857357e-10,2.7592076e-10,0.0006101573859143433,0.0006342730157214736
6,-7.918938,-7.959373,1182231,1079032.7526881092,1080202.1601152238,587,0.0005504930211990458,0.0005498970673569462,0.0005492452,2.1859390036106503e-10,2.1752809e-10,0.0005024398785009022,0.0005140294500077993
7,-7.959373,-7.9951115,1263408,1190115.1523051104,1191122.695122599,587,0.0005041528954890389,0.0005037264443510949,0.0005032732,1.4327043046171354e-10,1.4294069e-10,0.0004749059686182136,0.000495259691579307
8,-7.9951115,-8.026163,1288027,1285505.947795394,1286327.4915520158,587,0.00046674229787033096,0.0004664442017608372,0.00046613903,9.272642165739738e-11,9.257479e-11,0.00046582874427321787,0.0004873504225869769
9,-8.026163,-8.055777,1412863,1378579.311224248,1379380.6101180972,587,0.0004352306719786544,0.0004349778412128255,0.0004347224,7.333849494035648e-11,7.322071e-11,0.00042466962472653046,0.00044289163084118143
10,-8.055777,-8.080537,1331017,1463000.5494882208,1463595.0130083691,587,0.00040874899206920273,0.0004085829718501374,0.0004084144,4.523121056632713e-11,4.51322e-11,0.00044928051257046305,0.00046560737410076874
11,-8.080537,-8.106739,1571802,1540954.5499778069,1541655.7464617628,587,0.0003854753535777904,0.00038530002652231726,0.00038514327,4.504592594138511e-11,4.498485e-11,0.00037791019479552765,0.00038667435296830735
12,-8.106739,-8.130904,1611308,1644060.4001216514,1644696.7065167732,587,0.0003637335951621676,0.0003635928725524577,0.00036347765,3.411709288264093e-11,3.4071457e-11,0.0003711270595069347,0.0003846428280740956
13,-8.130904,-8.1535845,1664665,1723636.8237298531,1724224.4602155765,587,0.00034462016117445054,0.0003445027104682956,0.0003444049,2.697932263398408e-11,2.7005752e-11,0.0003568285510898589,0.00036511132500572345
14,-8.1535845,-8.176113,1804789,1837131.4371743344,1837749.4197633697,587,0.00032714044724224494,0.00032703043926270717,0.00032694227,2.39880058322787e-11,2.3937078e-11,0.00033300291613036205,0.0003484063041427035
15,-8.176113,-8.198148,1923296,1917785.3567850112,1918402.4869835246,587,0.0003107751333544118,0.0003106751602147597,0.00031059532,2.0709445661939147e-11,2.0720401e-11,0.0003098846979352112,0.0003191476032394549
16,-8.198148,-8.21898,1966913,2008114.0346037312,2008691.6185170377,587,0.00029579993454764946,0.00029571487953861927,0.00029565868,1.677043261786077e-11,1.6755297e-11,0.0003019960720174202,0.00030902262292903734
17,-8.21898,-8.238473,1983796,2128406.2163855894,2128942.2303364896,587,0.0002823709099199139,0.0002822998160476196,0.00028225023,1.338154282675227e-11,1.3388911e-11,0.000302954537664155,0.000316977110712424
18,-8.238473,-8.259031,2242977,2202824.732865612,2203441.780122188,587,0.00026965377278439985,0.000269578259502305,0.0002695272,1.357306018955395e-11,1.3553081e-11,0.00026482661213200135,0.0002709981836605519
19,-8.259031,-8.280411,2508282,2335090.6989120585,2335798.0922636776,587,0.0002569493340363806,0.00025687151727165155,0.0002568183,1.3327958766374376e-11,1.3313011e-11,0.0002392075532177004,0.0002495159936036177
20,-8.280411,-8.299238,2363518,2433659.514260213,2434231.2570290063,587,0.0002453095827505175,0.00024525196538994495,0.00024521496,9.421620534089929e-12,9.43109e-12,0.0002525895719854894,0.00026098773270418277
21,-8.299238,-8.319686,2734418,2546121.2930358797,2546826.8478885866,587,0.00023447429689736588,0.00023440933980059737,0.00023437169,1.0152439920718564e-11,1.0136287e-11,0.00021832799520775536,0.00022559449878799108
22,-8.319686,-8.338617,2698847,2650928.0852147336,2651557.7675083475,587,0.00022407246854902295,0.0002240192566342532,0.00022399021,7.947939563160872e-12,7.955325e-12,0.00022009398828462672,0.00022523294731822846
23,-8.338617,-8.356568,2709979,2779952.903716303,2780546.610682437,587,0.0002147518395732234,0.00021470598540100598,0.00021467799,6.564144355496987e-12,6.5653715e-12,0.00022029691004985647,0.0002276285103112239
24,-8.356568,-8.373928,2761783,2885635.3800816005,2886211.726252966,587,0.00020619375687831168,0.000206152582150465,0.00020612896,5.659416096031344e-12,5.651791e-12,0.00021544053243864562,0.00022191164652805777
