,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.9412045,-7.587941,377342,182111.90253642967,234969.48366939445,19192,0.8558693738802765,0.6633372026271418,0.41093913,0.0974987135856716,0.010392088,0.4130576506193321,3.685301880903447
1,-7.587941,-7.702278,566882,557359.3834035906,562195.2807296094,19192,0.27857968237984765,0.2761833927145279,0.27213815,0.0004431243411832199,0.00042110414,0.2739000356335181,2.4480841080987212
2,-7.702278,-7.77713,692862,694168.1019790904,696747.2810511185,19192,0.22295320046938985,0.22212788511570117,0.22086789,0.00012244408452326676,0.000120183504,0.22337348562917292,2.001125990095618
3,-7.77713,-7.8354616,812763,802834.1963949095,804645.2720944,19192,0.19098090326558514,0.19055104816674046,0.18995064,5.466781823178664e-05,5.4102587e-05,0.18864785921603222,1.6801962913393482
4,-7.8354616,-7.88357,910334,912055.5727448454,913454.8982465552,19192,0.168832913916177,0.16857427804655237,0.16823943,2.9088534170298004e-05,2.8876731e-05,0.16915220127996977,1.514195996508868
5,-7.88357,-7.925671,1018854,1012735.8484051329,1013925.7347769082,19192,0.15212357718216146,0.15194505348451157,0.15173082,1.8094485428651638e-05,1.7999204e-05,0.15121008505634762,1.3537655278245304
6,-7.925671,-7.9631004,1113390,1097800.9707623082,1098820.3983308235,19192,0.1387792542160055,0.13865050214887906,0.13850468,1.190655153812466e-05,1.185943e-05,0.13683614905828145,1.211649771435591
7,-7.9631004,-7.996957,1202319,1197712.5144277855,1198622.4912067724,19192,0.12782282739455392,0.12772578616129926,0.12762095,8.266250871993025e-06,8.240266e-06,0.12733309545969082,1.1356977139599378
8,-7.996957,-8.028331,1302549,1296305.7213222522,1297151.4580914166,19192,0.11856230939352079,0.11848500731451862,0.11840717,6.108083467804926e-06,6.0961515e-06,0.1179940255606507,1.0564624779793366
9,-8.028331,-8.057115,1373627,1383192.7107685609,1383952.2671704837,19192,0.11061726888004195,0.11055655865416629,0.11049806,4.475837675795231e-06,4.4699755e-06,0.11138758920725932,0.9889963883305608
10,-8.057115,-8.084451,1477895,1472678.588916661,1473407.9775200025,19192,0.10369064991454253,0.10363931940766688,0.103591524,3.5474508052748394e-06,3.540945e-06,0.10332466108891362,0.9177438277264215
11,-8.084451,-8.110457,1577460,1568121.052060581,1568824.0011449007,19192,0.09750969148655544,0.09746599993906972,0.09742738,2.839596560160543e-06,2.8366378e-06,0.09693241033053136,0.8636094455222887
12,-8.110457,-8.134992,1654926,1660948.1628018771,1661610.7927307235,19192,0.09199323821295316,0.09195655244203854,0.09192566,2.249446626586979e-06,2.247425e-06,0.0923279953303048,0.8214341013589191
13,-8.134992,-8.158858,1774830,1749328.3572078815,1749988.7816001584,19192,0.08700539231121215,0.0869725575388147,0.086946234,1.9041754618339208e-06,1.9011077e-06,0.0857552554329147,0.7628860028103283
14,-8.158858,-8.181374,1835494,1851467.525408509,1852089.592411437,19192,0.08247781713930255,0.0824501150622939,0.082428806,1.522948759576154e-06,1.5219312e-06,0.08319558658323045,0.7410052105595593
15,-8.181374,-8.203511,1964493,1954201.5542277934,1954836.295839185,19192,0.07834401710958508,0.07831857855610166,0.07829939,1.3284232728973096e-06,1.3270837e-06,0.07793359406218296,0.6965890775630557
16,-8.203511,-8.224709,2038999,2049880.316469419,2050490.7710016067,19192,0.07452922922989547,0.07450704102675539,0.074491344,1.1022823465645285e-06,1.1015851e-06,0.07492696171013326,0.6673965796441159
17,-8.224709,-8.245469,2154614,2140261.659866859,2140873.032605531,19192,0.0710137469871113,0.07099346747108319,0.070979126,9.599458605702828e-07,9.598299e-07,0.07054070937996319,0.6270249142829102
18,-8.245469,-8.265574,2242709,2256540.943520655,2257145.4873471684,19192,0.06774882611324559,0.06773068056843695,0.067718945,8.194498197145625e-07,8.1852744e-07,0.06816666807864953,0.608070336417909
19,-8.265574,-8.285423,2370490,2360446.1049176482,2361062.4499787735,19192,0.06470259993728109,0.06468570960559432,0.06467486,7.28470488189814e-07,7.2767966e-07,0.06442845150158828,0.5751144429580032
20,-8.285423,-8.304837,2477496,2474278.4566056,2474896.5239112056,19192,0.06184227146766552,0.06182682731243348,0.061817404,6.366549196553535e-07,6.366567e-07,0.06176195642697304,0.5520148142468552
21,-8.304837,-8.323775,2571745,2586514.821630138,2587129.637051806,19192,0.05917035491934439,0.05915629344898396,0.059147563,5.546155529601021e-07,5.5493814e-07,0.059510176942115176,0.5316138516726556
22,-8.323775,-8.342685,2727587,2696892.658011792,2697531.7747591473,19192,0.05664741588663259,0.05663399461296075,0.056626383,5.067936040824546e-07,5.068127e-07,0.05600994578724711,0.5015169996638753
23,-8.342685,-8.361036,2804809,2804471.6978536737,2805097.669036555,19192,0.05426797500451753,0.05425586484205113,0.05424896,4.380804440065347e-07,4.3805736e-07,0.054261448818796576,0.48343070323858806
24,-8.361036,-8.379135,2923668,2916900.8454732858,2917534.1022241963,19192,0.05203742192181765,0.05202612709283627,0.0520198,3.9179332977188365e-07,3.9154386e-07,0.051916975525264836,0.46057679124954376
25,-8.379135,-8.396901,3024772,3046015.856354815,3046653.044885489,19192,0.04993211039354594,0.04992166740329192,0.049916267,3.475906761199682e-07,3.4744326e-07,0.050282798174540094,0.4481237885349513
26,-8.396901,-8.414495,3153109,3190947.183776182,3191601.8526473613,19192,0.04793999749596915,0.04793016393104031,0.04792528,3.142484857102487e-07,3.1418878e-07,0.048515290781257485,0.43408281220472494
27,-8.414495,-8.431948,3284412,3318563.018121332,3319232.915723501,19192,0.04604402543077257,0.04603473268663155,0.046030458,2.8522144666942926e-07,2.8509282e-07,0.046522787031590435,0.41551891728004064
28,-8.431948,-8.449324,3431602,3461369.52402362,3462062.153162056,19192,0.044234225481369085,0.04422537586743117,0.04422161,2.6094444034616534e-07,2.6087707e-07,0.04461793646232867,0.4000112784438045
29,-8.449324,-8.466711,3597396,3583558.3036695714,3584276.328007812,19192,0.04249882019333899,0.04249030656758785,0.04248671,2.411885393864073e-07,2.4104327e-07,0.042335344788285746,0.37698920385600543
30,-8.466711,-8.484164,3777307,3724828.6149873314,3725580.6050703884,19192,0.040827918736475136,0.04081967782230463,0.040816367,2.242836118229152e-07,2.2413734e-07,0.04026069366350154,0.3578476079624282
31,-8.484164,-8.501329,3884235,3885127.9104031078,3885886.588897416,19192,0.03923242773857222,0.039224768019606206,0.039222058,2.0032002345624838e-07,2.0022746e-07,0.039241446513921016,0.3503963331255726
32,-8.501329,-8.518782,4122341,4038374.2112345654,4039189.412629264,19192,0.03769982474047572,0.03769221604809496,0.03768974,1.9121161543934364e-07,1.9111482e-07,0.03693192775658297,0.32908516343669075
33,-8.518782,-8.535852,4204867,4200772.888244829,4201584.205676675,19192,0.036230475688389496,0.036223479656642625,0.0362213,1.689633905933766e-07,1.6889838e-07,0.03619519951522843,0.3223025212009275
34,-8.535852,-8.552872,4365181,4371423.816202778,4372263.005912979,19192,0.03483601828666434,0.03482933204019403,0.034827165,1.552665675750739e-07,1.5521321e-07,0.03488583863990978,0.31132923923072114
35,-8.552872,-8.569922,4548922,4544115.6411305,4544991.212060289,19192,0.033496066566240094,0.0334896137084062,0.033487525,1.4408302390622693e-07,1.4402916e-07,0.03346067485879072,0.29829110076623505
36,-8.569922,-8.586617,4625536,4714954.073854066,4715825.049977144,19192,0.032219401847921776,0.03221345117557664,0.032211896,1.2780626553512715e-07,1.2776479e-07,0.0328422479038105,0.2932701930315078
37,-8.586617,-8.60369,4911082,4920957.756954744,4921908.379891039,19192,0.030991121552397936,0.030985135892224017,0.030983536,1.2365627197160093e-07,1.2361075e-07,0.031053441990990988,0.27734787645079473
38,-8.60369,-8.620899,5133849,5099276.975181257,5100277.8462717645,19192,0.029791870639582194,0.029786024326311812,0.029784445,1.16103679320158e-07,1.1605103e-07,0.02959124820383303,0.2629702561073803
39,-8.620899,-8.638203,5352249,5317205.817259581,5318260.946047245,19192,0.0286313912291742,0.028625710837515493,0.02862436,1.0841425499379741e-07,1.0840644e-07,0.028443930766300297,0.25347339490820947
40,-8.638203,-8.65558,5566261,5536373.957814374,5537481.922407988,19192,0.02751078615002522,0.027505281666683545,0.027504114,1.0094500960718263e-07,1.0086885e-07,0.02736307190769531,0.24405221575447844
41,-8.65558,-8.672907,5745805,5763160.292344599,5764307.068660524,19192,0.026433240144709675,0.026427981400963023,0.026426911,9.266120608120556e-08,9.267225e-08,0.026513082152979435,0.2370543420074119
42,-8.672907,-8.690419,6004222,5985056.938051967,5986273.4372592615,19192,0.025394077545646293,0.025388917093901474,0.025387902,8.735439776490238e-08,8.734701e-08,0.025313021403938762,0.22542334384736648
43,-8.690419,-8.708154,6286119,6219602.713763833,6220899.171520916,19192,0.024384354914563564,0.02437927312731564,0.0243783,8.260212771521531e-08,8.261883e-08,0.024126332956789395,0.2141152555682513
44,-8.708154,-8.725804,6456349,6519146.688357129,6520492.754013135,19192,0.02341088600944813,0.02340605315542577,0.023405116,7.54198109192115e-08,7.5403975e-08,0.023638592027785364,0.21114554088128004
45,-8.725804,-8.743858,6816130,6759398.06696897,6760858.2669343455,19192,0.022468272839581707,0.022463420175921702,0.022462672,7.267946462632844e-08,7.268927e-08,0.022281265175400116,0.19847246160141924
