,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.941012,-7.5883164,377728,182624.1527654474,235727.81725783314,18829,0.4278514030964659,0.33146703222783763,0.20522942,0.024395476559228076,0.0025953639,0.20685784479837344,1.0279750387549622
1,-7.5883164,-7.7024307,566122,556016.2783502337,560821.7221868895,18829,0.1391452067366752,0.13795293038634843,0.13593636,0.00011012585187045972,0.00010471733,0.13666135567951784,0.6789983800225795
2,-7.7024307,-7.7772903,692487,691699.8913985975,694270.4240975744,18829,0.1113922395508941,0.1109798103529342,0.11035109,3.057090873017823e-05,2.9981184e-05,0.11126562664714283,0.5508565265006241
3,-7.7772903,-7.835652,813539,801337.7486242175,803147.3116704298,18829,0.09541419973197218,0.09519922296817054,0.09490089,1.365915224974369e-05,1.352722e-05,0.09398320178872802,0.4649305544963864
4,-7.835652,-7.8837476,910394,908531.3583908664,909924.5306910647,18829,0.08434711613666894,0.08421797348599881,0.08405085,7.256314161439966e-06,7.203949e-06,0.08417454420833177,0.41799433687856813
5,-7.8837476,-7.9257855,1017505,1007371.2818056715,1008551.3281742157,18829,0.07600574026962392,0.07591681043998794,0.07580984,4.5034821841569975e-06,4.4792214e-06,0.07524877027631313,0.3731780213905817
6,-7.9257855,-7.9632235,1113682,1103873.226784051,1104898.7633532805,18829,0.06934310765286328,0.06927874529218309,0.069206096,2.974009899135344e-06,2.962398e-06,0.06873236704912174,0.34067427886224066
7,-7.9632235,-7.996974,1198962,1202701.0707605802,1203609.131772074,18829,0.06387539004302843,0.0638271993557356,0.06377494,2.0513585174007725e-06,2.0473437e-06,0.06407459118804433,0.31849099277638565
8,-7.996974,-8.02844,1306404,1294431.8392377452,1295281.3414477054,18829,0.059249160655043036,0.0592103024616111,0.05917043,1.5343735772098408e-06,1.5315901e-06,0.058706188897155856,0.29204869821948
9,-8.02844,-8.05719,1372091,1380864.4114706074,1381620.8813480027,18829,0.055274796979315644,0.055244532729941245,0.05521544,1.1149281850039668e-06,1.112945e-06,0.055628234570447584,0.27526094387321354
10,-8.05719,-8.084649,1485586,1474079.1638219042,1474815.832789563,18829,0.05180861508278323,0.05178273673367663,0.051758625,8.935910555770798e-07,8.9226563e-07,0.05140732344004319,0.25396982921815625
11,-8.084649,-8.110551,1572384,1563910.0522878068,1564605.4688817419,18829,0.04871891442128692,0.04869726043745463,0.048677877,7.031494251314907e-07,7.0261746e-07,0.04845635671693429,0.24008258368758736
12,-8.110551,-8.135043,1652073,1657146.2323821639,1657805.085881357,18829,0.04597059602307426,0.045952326150272116,0.04593686,5.598066985694783e-07,5.587537e-07,0.04611176382641687,0.22822066932375482
13,-8.135043,-8.158838,1770071,1755208.3667060076,1755867.0449481613,18829,0.04348372617618902,0.04346741413001079,0.043454565,4.7278367197485366e-07,4.7221258e-07,0.04311860936651694,0.2141801421396765
14,-8.158838,-8.181427,1842336,1850463.7251131407,1851089.5171991088,18829,0.041221018799131676,0.0412070833372859,0.0411963,3.8289122411401334e-07,3.8282946e-07,0.04140287113751238,0.20465966674665903
15,-8.181427,-8.203495,1958630,1954223.7227917258,1954854.4853638508,18829,0.03915467768996831,0.03914204385691559,0.0391324,3.297292361995815e-07,3.2939047e-07,0.03906659246514145,0.1944878519905979
16,-8.203495,-8.224758,2046022,2050851.2011499717,2051465.7427899013,18829,0.03724843614064509,0.03723727791628227,0.03722939,2.7704276975729974e-07,2.7676086e-07,0.03733635317704306,0.1849651854400649
17,-8.224758,-8.245479,2150842,2149545.011670573,2150156.66906699,18829,0.03549030124319698,0.035480205278763895,0.035473164,2.388385698810591e-07,2.387285e-07,0.03546890008657075,0.1757749516469344
18,-8.245479,-8.26554,2238829,2254984.599339474,2255586.0926124267,18829,0.03386187205995404,0.03385284217263546,0.033847157,2.0381874644344037e-07,2.0367617e-07,0.03410622249399128,0.16881401708786326
19,-8.26554,-8.285397,2371495,2356626.8298989115,2357242.650854931,18829,0.03234071641426117,0.03233226752127454,0.032327026,1.8213837346576213e-07,1.8188841e-07,0.03213795517173766,0.15922344586287807
20,-8.285397,-8.304785,2475415,2464443.9559570486,2465057.9346494195,18829,0.030911638228111403,0.030903938982202592,0.030899383,1.586444433124162e-07,1.5870894e-07,0.030774637788007264,0.1520616091012253
21,-8.304785,-8.323719,2571627,2578615.3672446664,2579228.0580502497,18829,0.02957711373662324,0.0295700877485236,0.029565712,1.3852251125387756e-07,1.3864972e-07,0.029657489208193877,0.1469046959815982
22,-8.323719,-8.342682,2736964,2685770.0515916925,2686410.1329061133,18829,0.02831441208264727,0.02830766570915764,0.028303696,1.2733122818077176e-07,1.2743051e-07,0.027784800969249138,0.1377376819810171
23,-8.342682,-8.361043,2806615,2817820.9000122035,2818450.504686632,18829,0.02712308649555016,0.02711702755571278,0.027113514,1.0954586260311727e-07,1.0944452e-07,0.027231380150109653,0.1348495465455317
