,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-1.1928996768499047,-0.9330074289014688,57824.0,903,0.3240772908366702,0.00048787527352406324,0.01952476480354178,0.028897283836068093,1.4550448544911834
1,-1.290053793794559,-1.1976583196617785,62340.0,5095,0.2878746405859628,7.94448668448855e-05,0.10208533846647418,0.14190453811356046,1.389279747485897
2,-1.3157267966452617,-1.290997233876734,62282.0,100,0.2713056841280814,6.9332106805292115e-06,0.0019909444141164383,0.002918228748155961,1.4622686182664906
3,-1.3624491584220737,-1.3160968707925385,69939.0,7198,0.26321761469973126,1.8170698905320415e-05,0.12743962595976494,0.17228056754915877,1.351717690262524
4,-1.393219094759555,-1.367207801233949,66276.0,3844,0.250031911058243,5.075454004674351e-06,0.07062888526766854,0.09611905045660636,1.360830977840724
5,-1.4324509306944062,-1.39448626740624,108585.0,736,0.24377560069239917,8.375200047081033e-06,0.00861997513468711,0.013629246242795347,1.5801520108726717
6,-1.437872373871942,-1.4341653477760197,70559.99999999999,628,0.23781893389606468,9.928665312131102e-08,0.011210317460317462,0.016583512455908292,1.4792991570450629
7,-1.4596032753667298,-1.439883725089265,63897.999999999985,43696,0.2345625939736744,3.8375667672438385e-06,0.8557544837084105,0.550431767447188,0.6432077661984806
8,-1.485646352364709,-1.462309210422088,60000.0,3996,0.2278823575349239,3.591418022884374e-06,0.07913333333333333,0.10290458222222222,1.3003495046865965
9,-1.5155989701199817,-1.488320503947694,87054.0,4314,0.2214937253136687,4.566952544797498e-06,0.062329129046339055,0.09065410142893565,1.4543687014942368
10,-1.5332658126409289,-1.5282151402482054,81342.0,925,0.21625292849804467,1.6042763598816956e-07,0.013191217329300977,0.01717250404226181,1.3018012808023238
11,-1.554704684554867,-1.5367572828061211,83052.0,1254,0.2134457860218082,2.2732878334624784e-06,0.018313827481577807,0.025467715026736504,1.3905035287964336
12,-1.5613615973954251,-1.5552780504897648,74151.0,30511,0.21051820226264525,1.863916929273346e-07,0.5108359968173052,0.49163252385749756,0.9624073881418961
13,-1.5756190445936935,-1.563280214309371,61260.0,193799,0.2084915292612546,1.0470274295973359e-06,3.9643976493633692,-9.746109185875586,-2.458408841622665
14,-1.580747761552848,-1.5759891187409725,81333.0,7499,0.20614914975372917,1.1204478643500604e-07,0.11475047028881266,0.15755024234682738,1.3729802579937744
15,-1.606388980931175,-1.5834219131358314,60201.0,3177,0.20286399904859134,3.521136937648106e-06,0.0622082689656318,0.08059716670360474,1.2955455425257478
16,-1.62536925719286,-1.6074218554441124,61265.999999999985,23563,0.19879849143976425,1.9089320764387185e-06,0.4554565338034147,0.41548233736084483,0.9122284951303369
17,-1.6377282866934024,-1.627100049182383,62640.0,3620,0.19574224263873866,2.9097340478734246e-07,0.06883780332056194,0.0904720848033483,1.3142748528542814
18,-1.6517043637716888,-1.6389954593400873,79074.0,308,0.19248851245929033,8.448257534654502e-07,0.004653868528214078,0.0063521179702761615,1.3647298169293143
19,-1.6564630065835644,-1.6540864857738242,92694.0,3490,0.19104250710075482,3.125248160262828e-08,0.044997518717500594,0.06027699041393515,1.3395618442847699
20,-1.673143235685627,-1.6591371581665475,100377.0,713,0.1886365339496455,1.0998626899655362e-06,0.008557737330264902,0.011951432137175871,1.3964359752224351
21,-1.6843929170231142,-1.6758173872686104,86013.0,127,0.18644748311877044,3.570161220961543e-07,0.0019415669724343995,0.003007403047395201,1.5487727562149316
22,-1.6984461643890505,-1.6868714005167291,66348.0,377,0.18397802220591702,6.15203071444026e-07,0.006586483390607102,0.008592899661757773,1.3045329273796809
23,-1.712684172746771,-1.6988162385363292,69621.99999999999,60125,0.1821059219088253,3.3107936332765764e-07,1.0508172704030339,0.4022034485839825,0.3827526714995433
24,-1.7271275792215557,-1.7174428155586448,57212.0,3762,0.178515517744039,3.473917237067914e-07,0.08014052995874991,0.10927000751833763,1.3634756368950567
25,-1.7379823309581397,-1.728071053069666,80628.0,2946,0.176835853781053,3.0049958657518694e-07,0.04447586446395793,0.06115133142372683,1.3749261911186783
26,-1.7515326322993268,-1.74380780832362,109008.0,2062,0.17405900915870898,2.2432179457368417e-07,0.022704755614266842,0.031289499209734055,1.3780934452462654
27,-1.7721549627573054,-1.7550574896611053,91905.0,447,0.1715411930128714,1.031180597861614e-06,0.005864751645721125,0.008311178922397652,1.4169649874028012
28,-1.7782385096629678,-1.7731878372702423,91728.0,26519,0.16928309676820702,7.233305651319077e-08,0.3492063492063492,0.3713830261449309,1.0635057313703677
29,-1.793158060589363,-1.783289182055691,54495.0,38907,0.16709942374331382,4.129047417970877e-07,0.8863198458574181,0.5226305430789376,0.5896631251313209
30,-1.799969411157754,-1.7938858642520934,90153.0,41033,0.16577773947510327,1.699454917798715e-07,0.5683338324847759,0.5249662177074256,0.9236931144267154
31,-1.8085449409122576,-1.802461394006596,68706.0,23179,0.16439991489648614,1.8885747680996712e-07,0.4054522166914098,0.4046854364921171,0.9981083614167209
32,-1.8193555753151769,-1.8098382896914256,60840.0,1533,0.16292233116056215,2.7442662311680244e-07,0.031295200525969756,0.045766172554216854,1.4623935094972706
33,-1.8279311050696805,-1.8195588671027936,60543.0,21581,0.16139604386221965,1.6992805956100865e-07,0.41985035429364254,0.39223070948268013,0.9342150972207952
34,-1.8423226431105209,-1.8283250973344032,56076.0,1432,0.15947140441962873,7.013824461013507e-07,0.03008417148156074,0.039950210477041996,1.3279245240003317
35,-1.8682892464583816,-1.8450285781658788,50862.0,3097,0.15612468965666956,1.1308516104611976e-06,0.0730211159608352,0.0962368679037682,1.3179165476432007
36,-1.8900201479531693,-1.8685812760392293,86130.0,545,0.15281567232443702,1.3552380024421662e-06,0.007744107744107744,0.011190464183614074,1.4448545029768063
37,-1.903646350100395,-1.8903121775340173,97605.0,616,0.15012865443900375,4.463188546244279e-07,0.00767378720352441,0.010893420761073308,1.4195043663988713
38,-1.911751049447956,-1.9037483127842696,67428.0,886,0.14832203165616406,1.562638870973576e-07,0.01540902889007534,0.020332651405695137,1.3195182698958927
39,-1.925479214279057,-1.915567936390584,90477.0,808,0.1466859528795148,2.939090526440924e-07,0.010610431380350808,0.014874653070668382,1.4018618686099031
40,-1.944004491489098,-1.9289021089569616,62874.0,92,0.1442334359505241,3.850326301228779e-07,0.0017177211565989122,0.0022873443094933886,1.3313914590138978
41,-1.951522291277037,-1.9459995820531617,72072.0,120,0.14240354372821096,7.834521493360613e-08,0.001900876900876901,0.0024522641228851686,1.2900287107171473
42,-1.9707860653766087,-1.9541058362745467,71246.0,168,0.1405162038505463,8.509478189623609e-07,0.0026948881340706846,0.0034174912483263403,1.2678226815101492
