,T0_rep1,T0_rep2
0,0.09528795636417553,0.0992098305163114
1,0.2236742909331809,0.23206797517954433
2,0.26587675070184147,0.27006502005437333
3,0.20845353521024307,0.205435142789815
4,0.12080396626478758,0.11515010664976169
5,0.055096610676351375,0.051100627974238574
6,0.020890670476338056,0.018603985241408903
7,0.006742081586684284,0.005766266065907484
8,0.0018778944951047376,0.0015515826711070607
9,0.0004673833583096831,0.0003804429605276233
10,0.00013433439398048138,9.247440831588285e-05
11,6.0757049559636805e-05,4.116733528097416e-05
12,3.5673863961621614e-05,2.8594060466095355e-05
13,3.149333302861908e-05,2.5957728650072376e-05
14,2.8148908282217052e-05,2.210462830357726e-05
15,2.9263716531017727e-05,2.33213968340494e-05
16,2.7312802095616548e-05,2.1496244038341187e-05
17,3.316554540182009e-05,2.0685065018026427e-05
18,2.7870206220016885e-05,2.7580086690701903e-05
19,2.647669590901604e-05,1.6629169916452615e-05
20,1.8115634043010974e-05,1.5006811875823092e-05
21,1.9787846416211986e-05,1.6020785651216545e-05
22,1.923044229181165e-05,2.0076680752790353e-05
23,1.7836931980810807e-05,1.3181659080114879e-05
24,1.5328613421009286e-05,1.4195632855508331e-05
25,1.950914435401182e-05,1.6020785651216545e-05
26,1.5886017545409624e-05,1.6020785651216545e-05
27,1.644342166980996e-05,1.6223580406295237e-05
28,1.5886017545409624e-05,8.517379713304998e-06
29,1.6722123732010132e-05,1.1356506284406666e-05
30,1.4771209296608949e-05,1.338445383519357e-05
31,1.5886017545409624e-05,1.1356506284406666e-05
32,1.4771209296608949e-05,1.1559301039485356e-05
33,1.644342166980996e-05,1.6020785651216545e-05
34,1.5328613421009286e-05,1.0342532509013213e-05
35,1.0590678363606416e-05,1.1964890549642736e-05
36,1.3377698985608103e-05,1.1964890549642736e-05
37,1.2820294861207766e-05,9.12576397854107e-06
38,1.0033274239206078e-05,8.111790203147618e-06
39,6.967551555004221e-06,9.328558733619761e-06
40,8.918465990405403e-06,6.0838426523607134e-06
41,7.803657741604727e-06,6.895021672675476e-06
42,4.7379350574028705e-06,6.0838426523607134e-06
43,6.967551555004221e-06,6.895021672675476e-06
44,5.574041244003377e-06,6.692226917596785e-06
45,7.524955679404559e-06,6.489432162518094e-06
46,6.131445368403714e-06,5.678253142203333e-06
47,5.016637119603039e-06,4.867074121888571e-06
48,4.180530933002533e-06,6.692226917596785e-06
49,5.8527433062035455e-06,3.8531003464951185e-06
50,4.180530933002533e-06,4.46148461173119e-06
51,5.574041244003377e-06,4.055895101573809e-06
52,3.344424746402026e-06,4.258689856652499e-06
53,2.7870206220016884e-06,2.0279475507869046e-06
54,3.065722684201857e-06,3.244716081259047e-06
55,1.672212373201013e-06,2.230742305865595e-06
56,1.9509144354011817e-06,6.083842652360713e-07
57,5.574041244003377e-07,1.0139737753934523e-06
58,8.361061866005065e-07,4.055895101573809e-07
59,0.0,4.055895101573809e-07
60,0.0,6.083842652360713e-07
61,0.0,0.0
62,0.0,4.055895101573809e-07
63,2.7870206220016886e-07,2.0279475507869044e-07
64,0.0,0.0
65,2.7870206220016886e-07,0.0
66,0.0,0.0
67,0.0,6.083842652360713e-07
68,2.7870206220016886e-07,2.0279475507869044e-07
69,2.7870206220016886e-07,0.0
70,0.0,2.0279475507869044e-07
71,0.0,0.0
72,0.0,4.055895101573809e-07
73,0.0,0.0
74,0.0,8.111790203147618e-07
75,0.0,8.111790203147618e-07
76,0.0,4.055895101573809e-07
77,0.0,2.0279475507869044e-07
78,2.7870206220016886e-07,6.083842652360713e-07
79,2.7870206220016886e-07,4.055895101573809e-07
80,0.0,0.0
81,0.0,0.0
82,0.0,0.0
83,2.7870206220016886e-07,0.0
84,0.0,0.0
85,0.0,2.0279475507869044e-07
86,0.0,0.0
87,0.0,0.0
88,0.0,2.0279475507869044e-07
89,0.0,0.0
90,0.0,0.0
91,0.0,0.0
92,0.0,0.0
93,0.0,0.0
94,0.0,0.0
95,0.0,0.0
96,0.0,0.0
97,0.0,0.0
98,0.0,0.0
