,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(1.0, 1.0, 1.0)",1330.0,177,-2.0298731128442444,210.0,310.0,0.13135218699653994,0.15789473684210525,0.20815195884447962
1,"(1.0, 1.0, 2.0)",3990.0,510,-1.9995666815949544,603.0,817.0,0.13539393921313048,0.1511278195488722,0.1819222869203083
2,"(1.0, 1.0, 3.0)",3990.0,649,-1.782689769327412,761.0,1011.0,0.16818515904266754,0.19072681704260652,0.21700673990741265
3,"(1.0, 1.0, 4.0)",6509.999999999999,859,-2.0212975830897406,1013.0,1377.0,0.13248344522103833,0.1556067588325653,0.18730727393281282
4,"(1.0, 1.0, 6.0)",6509.999999999999,887,-2.004617353987678,1066.0,1494.0,0.134711832780273,0.16374807987711215,0.20267965389416262
5,"(1.0, 1.0, 7.0)",6509.999999999999,1073,-1.7853639209103953,1307.0,1861.0,0.16773600725102686,0.20076804915514596,0.24556008598375184
6,"(1.0, 1.0, 8.0)",5460.000000000002,899,-1.6642512181966538,1069.0,1471.0,0.18933237355444166,0.19578754578754573,0.23108115632840903
7,"(1.0, 1.0, 9.0)",5460.000000000002,552,-2.299676638681152,630.0,798.0,0.10029126879696097,0.11538461538461535,0.1328402366863905
8,"(1.0, 1.0, 11.0)",5460.000000000002,761,-1.9289021089569616,921.0,1309.0,0.14530764290093515,0.16868131868131864,0.21129020247152108
9,"(1.0, 1.0, 12.0)",4410.0,300,-2.046970585940443,343.0,451.0,0.12912548623425973,0.07777777777777778,0.09621819098009575
10,"(1.0, 1.0, 13.0)",4410.0,380,-1.924143466145086,419.0,507.0,0.1460007579067595,0.09501133786848072,0.10593883207099922
11,"(1.0, 1.0, 14.0)",4410.0,408,-1.8338006997688243,486.0,688.0,0.15980504111131866,0.11020408163265306,0.14386413068628812
12,"(1.0, 2.0, 2.0)",3990.0,476,-1.9692602503456644,548.0,702.0,0.1395600575430979,0.13734335839598996,0.1570766515285708
13,"(1.0, 2.0, 3.0)",7980.0,1217,-1.752383338078122,1447.0,1973.0,0.1733602745462734,0.181328320802005,0.21436314784454874
14,"(1.0, 2.0, 4.0)",13019.999999999998,1697,-1.9909911518404504,1995.0,2675.0,0.13656000664439544,0.15322580645161293,0.18197500123878899
15,"(1.0, 2.0, 6.0)",13019.999999999998,1766,-1.974310922738388,2049.0,2701.0,0.13885696245942317,0.15737327188940095,0.1826837300997402
16,"(1.0, 2.0, 7.0)",13019.999999999998,2245,-1.7550574896611053,2738.0,3916.0,0.1728973021986834,0.21029185867895547,0.2565453833284962
17,"(1.0, 2.0, 8.0)",10920.000000000004,1925,-1.6339447869473638,2354.0,3374.0,0.195158196161462,0.2155677655677655,0.2625048974224798
18,"(1.0, 2.0, 9.0)",10920.000000000004,1156,-2.2693702074318622,1342.0,1770.0,0.10337726581941986,0.12289377289377286,0.14698503267184582
19,"(1.0, 2.0, 11.0)",10920.000000000004,1577,-1.898595677707672,1852.0,2490.0,0.14977880932161958,0.16959706959706955,0.19925881200606468
20,"(1.0, 2.0, 12.0)",8820.0,677,-2.016664154691153,780.0,1016.0,0.13309872209838278,0.08843537414965986,0.107371928363182
21,"(1.0, 2.0, 13.0)",8820.0,709,-1.893837034895796,796.0,1000.0,0.1504932517158583,0.09024943310657596,0.10523372463119791
22,"(1.0, 2.0, 14.0)",8820.0,847,-1.8034942685195323,980.0,1324.0,0.16472229748826095,0.1111111111111111,0.13776769967246158
23,"(1.0, 3.0, 3.0)",3990.0,722,-1.5355064258105813,871.0,1211.0,0.21534660647068202,0.21829573934837093,0.25585574211217266
24,"(1.0, 3.0, 4.0)",13019.999999999998,2152,-1.77411423957291,2611.0,3669.0,0.169633637737663,0.20053763440860217,0.2415818922088433
25,"(1.0, 3.0, 6.0)",13019.999999999998,2217,-1.7574340104708457,2708.0,3844.0,0.1724868960246262,0.2079877112135177,0.25197920722225764
26,"(1.0, 3.0, 7.0)",13019.999999999998,2695,-1.5381805773935646,3378.0,5108.0,0.21477150629733371,0.25944700460829495,0.3250067602483241
27,"(1.0, 3.0, 8.0)",10920.000000000004,2368,-1.417067874679821,2991.0,4531.0,0.24242379275358633,0.2739010989010988,0.33990492794751026
28,"(1.0, 3.0, 9.0)",10920.000000000004,1405,-2.05249329516432,1656.0,2222.0,0.12841432928446106,0.1516483516483516,0.18048263092219133
29,"(1.0, 3.0, 11.0)",10920.000000000004,1874,-1.6817187654401309,2346.0,3486.0,0.18605391802157534,0.21483516483516477,0.2730766211810167
30,"(1.0, 3.0, 12.0)",8820.0,802,-1.799787242423612,934.0,1240.0,0.16533406055388158,0.10589569160997732,0.12937567165944233
31,"(1.0, 3.0, 13.0)",8820.0,946,-1.6769601226282551,1105.0,1473.0,0.18694139207248328,0.12528344671201813,0.15131086070104535
32,"(1.0, 3.0, 14.0)",8820.0,992,-1.586617356251992,1175.0,1611.0,0.2046165874332578,0.13321995464852607,0.16490550490793446
33,"(1.0, 4.0, 4.0)",9765.000000000002,1445,-2.0127220533352386,1740.0,2442.0,0.13362444629946038,0.17818740399385558,0.21832605397344504
34,"(1.0, 4.0, 6.0)",19530.000000000004,2893,-1.996041824233176,3508.0,4972.0,0.135872025634724,0.17962109575012797,0.222318955253894
35,"(1.0, 4.0, 7.0)",19530.000000000004,3542,-1.7767883911558933,4379.0,6433.0,0.16918061766891204,0.2242191500256016,0.2791164537653809
36,"(1.0, 4.0, 8.0)",16926.0,3265,-1.65567568844215,4075.0,6023.0,0.1909629806242189,0.24075386978612784,0.2978806558325375
37,"(1.0, 4.0, 9.0)",16926.0,1858,-2.29110110892665,2217.0,3109.0,0.1011550178160382,0.13098192130450195,0.16652564577974235
38,"(1.0, 4.0, 11.0)",16926.0,2574,-1.9203265792024595,3055.0,4163.0,0.14655909116283924,0.18049155145929338,0.21337577161124063
39,"(1.0, 4.0, 12.0)",13670.999999999998,1063,-2.0383950561859407,1226.0,1600.0,0.13023756721010735,0.08967888230561043,0.10899375980493906
40,"(1.0, 4.0, 13.0)",13670.999999999998,1216,-1.915567936390584,1398.0,1806.0,0.1472581755557655,0.1022602589422866,0.12164729412615637
41,"(1.0, 4.0, 14.0)",13670.999999999998,1333,-1.8252251700143205,1545.0,2035.0,0.16118134683722365,0.11301294711432962,0.13608331480567337
42,"(1.0, 6.0, 6.0)",9765.000000000002,1480,-1.9793615951311128,1757.0,2405.0,0.13815740952602673,0.17992831541218635,0.21391356372972742
43,"(1.0, 6.0, 7.0)",19530.000000000004,3589,-1.7601081620538306,4426.0,6448.0,0.17202625610357114,0.22662570404505883,0.2787995204248115
44,"(1.0, 6.0, 8.0)",16926.0,3351,-1.6389954593400873,4221.0,6447.0,0.19417500103618357,0.24937965260545905,0.3187030891145195
45,"(1.0, 6.0, 9.0)",16926.0,1946,-2.2744208798245857,2248.0,2948.0,0.10285645744028228,0.13281342313600378,0.15653051074029678
46,"(1.0, 6.0, 11.0)",16926.0,2692,-1.903646350100395,3277.0,4659.0,0.1490242327878563,0.19360746780101618,0.23777314947513117
47,"(1.0, 6.0, 12.0)",13670.999999999998,1170,-2.021714827083878,1322.0,1642.0,0.13242817882978392,0.09670104600980178,0.1107571660577165
48,"(1.0, 6.0, 13.0)",13670.999999999998,1272,-1.8988877072885195,1469.0,1915.0,0.14973507586475587,0.1074537341818448,0.1285312314012779
