,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",177099.99999999997,1,-inf,7.0,49.0,0.0,3.952569169960475e-05,0.00027667827961692893
1,"(0.0, 2.0, 3.0, 4.0, 11.0, 13.0)",202859999.9999999,1,-inf,1.0,1.0,0.0,4.929508035098099e-09,4.92950801079805e-09
2,"(1.0, 1.0, 1.0, 1.0, 2.0, 13.0)",5578649.999999999,4,-16.66019631313684,4.0,4.0,5.815253800311578e-08,7.170193505597234e-07,7.170188364429743e-07
3,"(1.0, 1.0, 1.0, 1.0, 9.0, 13.0)",6641249.999999997,2,-16.960306270223036,2.0,2.0,4.3075722990194054e-08,3.011481272350839e-07,3.0114803654488935e-07
4,"(1.0, 1.0, 1.0, 1.0, 11.0, 13.0)",6641249.999999997,1,-16.58953174049885,1.0,1.0,6.241053532417138e-08,1.5057406361754194e-07,1.505740409449933e-07
5,"(1.0, 1.0, 1.0, 1.0, 12.0, 13.0)",5312999.999999999,1,-16.70760021748233,1.0,1.0,5.546019850702712e-08,1.882175795219274e-07,1.8821754409607014e-07
6,"(1.0, 1.0, 1.0, 1.0, 13.0, 14.0)",5312999.999999999,2,-16.49443033131071,2.0,2.0,6.863725791807228e-08,3.764351590438548e-07,3.764350173404258e-07
7,"(1.0, 1.0, 1.0, 2.0, 2.0, 9.0)",13282499.999999994,1,-17.005423054423616,1.0,1.0,4.1175473781178834e-08,7.528703180877097e-08,7.528702614063381e-08
8,"(1.0, 1.0, 1.0, 2.0, 2.0, 12.0)",11157299.999999998,1,-16.752717001682907,1.0,1.0,5.301361860008538e-08,8.962741881996542e-08,8.962741078689122e-08
9,"(1.0, 1.0, 1.0, 2.0, 2.0, 13.0)",11157299.999999998,12,-16.62988988188755,15.0,21.0,5.994191170711546e-08,1.3444112822994813e-06,1.8821739877775779e-06
10,"(1.0, 1.0, 1.0, 2.0, 3.0, 9.0)",26564999.99999999,1,-16.788546142156072,1.0,1.0,5.1147810949230194e-08,3.7643515904385486e-08,3.764351448735119e-08
11,"(1.0, 1.0, 1.0, 2.0, 3.0, 13.0)",22314600.0,10,-16.41301296962001,10.0,10.0,7.445931488789304e-08,4.48137094099827e-07,4.4813689327297187e-07
12,"(1.0, 1.0, 1.0, 2.0, 4.0, 9.0)",35419999.999999985,1,-17.0271539559184,1.0,1.0,4.0290345763203e-08,2.8232636928289114e-08,2.8232636131207328e-08
