,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(0.0, 0.0, 0.0, 0.0)",8855.0,1,-inf,1.0,1.0,0.0,0.00011293054771315641,0.00011291779440454962
1,"(0.0, 0.0, 2.0, 3.0)",106260.0,1,-inf,1.0,1.0,0.0,9.410878976096367e-06,9.410790411453265e-06
2,"(0.0, 1.0, 3.0, 8.0)",297527.99999999994,1,-inf,1.0,1.0,0.0,3.3610282057487032e-06,3.3610169092381034e-06
3,"(0.0, 1.0, 8.0, 9.0)",382535.9999999999,1,-inf,1.0,1.0,0.0,2.6141330489156584e-06,2.614126215224061e-06
4,"(0.0, 1.0, 9.0, 11.0)",382535.9999999999,1,-inf,1.0,1.0,0.0,2.6141330489156584e-06,2.614126215224061e-06
5,"(0.0, 1.0, 9.0, 14.0)",283360.0,1,-inf,1.0,1.0,0.0,3.529079616036138e-06,3.5290671616332016e-06
6,"(0.0, 2.0, 6.0, 9.0)",396704.0,1,-inf,2.0,4.0,0.0,5.041542308623054e-06,1.008305920009726e-05
7,"(0.0, 3.0, 3.0, 7.0)",148763.99999999997,1,-inf,2.0,4.0,0.0,1.3444112822994813e-05,2.688804490182003e-05
8,"(0.0, 3.0, 3.0, 8.0)",148763.99999999997,1,-inf,1.0,1.0,0.0,6.7220564114974065e-06,6.722011225455007e-06
9,"(0.0, 3.0, 7.0, 11.0)",396704.0,1,-inf,1.0,1.0,0.0,2.520771154311527e-06,2.520764800024315e-06
10,"(0.0, 3.0, 8.0, 8.0)",191268.0,1,-inf,1.0,1.0,0.0,5.228266097831315e-06,5.228238763064925e-06
11,"(0.0, 3.0, 9.0, 11.0)",382535.9999999999,1,-inf,1.0,1.0,0.0,2.6141330489156584e-06,2.614126215224061e-06
12,"(0.0, 8.0, 8.0, 9.0)",226044.0,1,-inf,1.0,1.0,0.0,4.423917467395728e-06,4.4238978963499696e-06
13,"(1.0, 1.0, 1.0, 9.0)",49587.99999999999,2,-6.94038682518557,2.0,2.0,0.0009678951185283515,4.033233846898444e-05,4.0330711771458066e-05
14,"(1.0, 1.0, 2.0, 3.0)",106260.0,1,-6.39925198636892,1.0,1.0,0.0016628006056199239,9.410878976096367e-06,9.410790411453265e-06
15,"(1.0, 1.0, 2.0, 9.0)",148763.99999999997,5,-6.9026132907700966,7.0,13.0,0.0010051552309216498,4.705439488048184e-05,8.738451923338871e-05
16,"(1.0, 1.0, 3.0, 7.0)",148763.99999999997,2,-6.198059157000426,2.0,2.0,0.0020333732673156026,1.3444112822994813e-05,1.3443932078825216e-05
17,"(1.0, 1.0, 3.0, 8.0)",148763.99999999997,4,-6.059266390938326,7.0,19.0,0.00233611405349401,4.705439488048184e-05,0.00012771685770237315
18,"(1.0, 1.0, 3.0, 9.0)",148763.99999999997,74,-6.704126510072822,88.0,118.0,0.001225842997944364,0.0005915409642117718,0.0007928527358443534
19,"(1.0, 1.0, 3.0, 11.0)",148763.99999999997,4,-6.359700877986352,5.0,7.0,0.0017298840808847174,3.361028205748703e-05,4.705326522942186e-05
20,"(1.0, 1.0, 3.0, 13.0)",106260.0,1,-6.330525981752398,1.0,1.0,0.001781096698319457,9.410878976096367e-06,9.410790411453265e-06
21,"(1.0, 1.0, 4.0, 9.0)",198352.0,5,-6.940927915907711,8.0,16.0,0.0009673715411239224,4.0332338468984434e-05,8.066305024044249e-05
22,"(1.0, 1.0, 6.0, 9.0)",198352.0,3,-6.9054009274248,3.0,3.0,0.0010023571252192626,1.5124626925869162e-05,1.5124398171529515e-05
23,"(1.0, 1.0, 7.0, 9.0)",198352.0,6,-6.701420461401604,7.0,9.0,0.0012291646810511784,3.5290796160361375e-05,4.537263533731385e-05
24,"(1.0, 1.0, 8.0, 8.0)",95633.99999999996,2,-5.917767576205009,3.0,5.0,0.002691201377842642,3.1369596586987904e-05,5.228167692672315e-05
25,"(1.0, 1.0, 8.0, 9.0)",191268.0,27,-6.562627695339504,30.0,36.0,0.0014121700779773537,0.00015684798293493947,0.00018819297823217658
26,"(1.0, 1.0, 8.0, 11.0)",191268.0,1,-6.218202063253035,1.0,1.0,0.0019928249714614974,5.228266097831315e-06,5.228238763064925e-06
27,"(1.0, 1.0, 9.0, 9.0)",95633.99999999996,1122,-7.207487814473999,1333.0,1843.0,0.0007410163897631489,0.013938557416818292,0.019077105453744296
28,"(1.0, 1.0, 9.0, 11.0)",191268.0,43,-6.86306218238753,52.0,74.0,0.0010457068796538608,0.0002718698370872284,0.0003868177780311995
29,"(1.0, 1.0, 9.0, 12.0)",141680.0,2,-6.948773659465765,2.0,2.0,0.0009598114879863249,1.4116318464144551e-05,1.411611919369757e-05
30,"(1.0, 1.0, 9.0, 13.0)",141680.0,1,-6.833887286153574,2.0,4.0,0.0010766646686573892,1.4116318464144551e-05,2.823243765784212e-05
31,"(1.0, 1.0, 9.0, 14.0)",141680.0,3,-6.757253656802888,3.0,3.0,0.0011624171907506516,2.1174477696216826e-05,2.1174029337711118e-05
32,"(1.0, 2.0, 2.0, 9.0)",148763.99999999997,1,-6.8648397563546215,1.0,1.0,0.0010438497094451067,6.7220564114974065e-06,6.722011225455007e-06
33,"(1.0, 2.0, 3.0, 4.0)",297527.99999999994,2,-6.39979307709106,4.0,8.0,0.001661901123012248,1.3444112822994813e-05,2.688804490182003e-05
34,"(1.0, 2.0, 3.0, 6.0)",297527.99999999994,2,-6.364266088608149,2.0,2.0,0.0017220047946891442,6.7220564114974065e-06,6.722011225455007e-06
35,"(1.0, 2.0, 3.0, 8.0)",297527.99999999994,8,-6.021492856522853,11.0,19.0,0.0024260451529803857,3.697131026323574e-05,6.385816903144278e-05
36,"(1.0, 2.0, 3.0, 9.0)",297527.99999999994,165,-6.6663529756573485,200.0,280.0,0.0012730330777428777,0.0006722056411497407,0.0009406360371856435
37,"(1.0, 2.0, 3.0, 11.0)",297527.99999999994,11,-6.321927343570879,13.0,17.0,0.0017964777376221796,4.369336667473314e-05,5.7135570387436584e-05
38,"(1.0, 2.0, 3.0, 13.0)",212520.0,1,-6.292752447336923,2.0,4.0,0.001849661837137,9.410878976096367e-06,1.882166938754963e-05
39,"(1.0, 2.0, 3.0, 14.0)",212520.0,1,-6.216118817986239,1.0,1.0,0.001996980841996648,4.7054394880481834e-06,4.7054173468874075e-06
40,"(1.0, 2.0, 4.0, 9.0)",396704.0,9,-6.903154381492236,10.0,12.0,0.0010046114978696093,2.520771154311527e-05,3.0248618423017083e-05
41,"(1.0, 2.0, 6.0, 9.0)",396704.0,13,-6.867627393009325,13.0,13.0,0.0010409438878022591,3.277002500604985e-05,3.2768951131510956e-05
42,"(1.0, 2.0, 7.0, 9.0)",396704.0,13,-6.663646926986129,18.0,28.0,0.001276482632437768,4.5373880777607486e-05,7.057953353166593e-05
43,"(1.0, 2.0, 8.0, 9.0)",382535.9999999999,62,-6.524854160924029,74.0,102.0,0.0014665330092667422,0.00019344584561975872,0.00026660414969420965
44,"(1.0, 2.0, 8.0, 11.0)",382535.9999999999,1,-6.18042852883756,1.0,1.0,0.0020695408066748492,2.6141330489156584e-06,2.614126215224061e-06
45,"(1.0, 2.0, 9.0, 9.0)",191268.0,2270,-7.169714280058525,2638.0,3484.0,0.0007695425734780045,0.013792165966079009,0.018025055242808435
46,"(1.0, 2.0, 9.0, 11.0)",382535.9999999999,79,-6.825288647972055,93.0,135.0,0.0010859624353648889,0.00024311437354915624,0.00035284885700498765
47,"(1.0, 2.0, 9.0, 12.0)",283360.0,4,-6.911000125050292,5.0,7.0,0.0009967604127552859,1.7645398080180688e-05,2.4703245952179556e-05
48,"(1.0, 2.0, 9.0, 13.0)",283360.0,5,-6.796113751738099,6.0,8.0,0.0011181119761146945,2.1174477696216826e-05,2.8232188569783395e-05
49,"(1.0, 2.0, 9.0, 14.0)",283360.0,8,-6.719480122387415,8.0,8.0,0.0012071656292396537,2.8232636928289102e-05,2.8231839846501176e-05
50,"(1.0, 3.0, 3.0, 4.0)",148763.99999999997,1,-6.201306296393787,1.0,1.0,0.002026781329141026,6.7220564114974065e-06,6.722011225455007e-06
51,"(1.0, 3.0, 3.0, 6.0)",148763.99999999997,1,-6.165779307910874,1.0,1.0,0.0021000811168845734,6.7220564114974065e-06,6.722011225455007e-06
52,"(1.0, 3.0, 3.0, 7.0)",148763.99999999997,3,-5.961798841887678,3.0,3.0,0.002575275289884699,2.016616923449222e-05,2.0165762560110625e-05
53,"(1.0, 3.0, 3.0, 8.0)",148763.99999999997,5,-5.823006075825578,5.0,5.0,0.002958697693639804,3.361028205748703e-05,3.360915240642705e-05
54,"(1.0, 3.0, 3.0, 9.0)",148763.99999999997,163,-6.467866194960074,190.0,258.0,0.0015525350080223693,0.0012771907181845072,0.0017326593380357143
55,"(1.0, 3.0, 3.0, 11.0)",148763.99999999997,7,-6.123440562873604,10.0,18.0,0.0021909050342481273,6.722056411497406e-05,0.00012099249680271338
56,"(1.0, 3.0, 3.0, 13.0)",106260.0,1,-6.09426566663965,1.0,1.0,0.0022557660168969823,9.410878976096367e-06,9.410790411453265e-06
57,"(1.0, 3.0, 3.0, 14.0)",106260.0,3,-6.017632037288964,3.0,3.0,0.002435429779284957,2.8232636928289102e-05,2.8231839846501176e-05
58,"(1.0, 3.0, 4.0, 4.0)",191268.0,1,-6.438107702228674,1.0,1.0,0.0015994304174190303,5.228266097831315e-06,5.228238763064925e-06
59,"(1.0, 3.0, 4.0, 6.0)",382535.9999999999,2,-6.402580713745763,2.0,2.0,0.0016572747977780448,5.228266097831317e-06,5.228238763064927e-06
60,"(1.0, 3.0, 4.0, 7.0)",382535.9999999999,2,-6.198600247722567,2.0,2.0,0.0020322733255169964,5.228266097831317e-06,5.228238763064927e-06
