,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-15.544731253580697,-14.455231783993636,66561074346.00002,13362,2.1260224863089723e-07,1.1667712589911798e-15,2.396145218013365e-07,3.315901432668859e-07,1.3838482726645207
1,-15.753010649929138,-15.545250952655536,95233007871.00003,13177,1.5864319200273833e-07,9.034923580692002e-17,1.6357773789001313e-07,2.2282187579888283e-07,1.3621772655784934
2,-15.902355208220513,-15.753057421412588,101214545885.00003,11486,1.3338191288107453e-07,3.344905436972139e-17,1.3413091844945934e-07,1.8343211459085476e-07,1.3675602663268356
3,-16.03720544236644,-15.902436796203997,104309804266.00003,10183,1.1592540339179373e-07,2.0161465230990748e-17,1.1487894243806841e-07,1.5564211569225865e-07,1.3548359026372854
4,-16.168427790953274,-16.037434910703027,103777887690.00003,9156,1.0156832032236934e-07,1.4712946035368163e-17,1.0452130257653346e-07,1.431807796150512e-07,1.3698717493067716
5,-16.323927908851687,-16.16854331419068,104923510407.00003,8138,8.82729748479886e-08,1.5372829898496848e-17,9.142850789864535e-08,1.2440490288871888e-07,1.3606795706570782
6,-16.532364604800488,-16.323989959867617,103954598038.00003,7037,7.415046990846117e-08,1.9505510636678805e-17,7.961167813832298e-08,1.0795096660401315e-07,1.3559689873255274
7,-17.926885577730275,-16.532763508984864,87595338636.00003,5031,5.515886849180653e-08,6.76961594771566e-17,6.776616304512368e-08,9.210535313147657e-08,1.3591643517200453
