,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(1.0, 1.0, 1.0)",1330.0,211,-1.7209017134796485,266.0,426.0,0.17890475432849295,0.2,0.2803007518796993
1,"(1.0, 1.0, 2.0)",3990.0,659,-1.6831281790641732,819.0,1203.0,0.18579187580102488,0.20526315789473684,0.2593707954095765
2,"(1.0, 1.0, 3.0)",3990.0,782,-1.4846413983669002,999.0,1533.0,0.22658357935102638,0.2503759398496241,0.32152241506020685
3,"(1.0, 1.0, 4.0)",6509.999999999999,1121,-1.7214428042017893,1439.0,2267.0,0.1788079768108486,0.2210445468509985,0.2993727952506011
4,"(1.0, 1.0, 6.0)",6509.999999999999,1169,-1.685915815718877,1469.0,2179.0,0.185274676774304,0.22565284178187406,0.2837966168083606
5,"(1.0, 1.0, 7.0)",6509.999999999999,1395,-1.4819353496956804,1811.0,2883.0,0.2271975558953917,0.27818740399385566,0.3654689111163022
6,"(1.0, 1.0, 8.0)",5460.000000000002,1180,-1.3431425836335809,1591.0,2647.0,0.2610240882862633,0.2913919413919413,0.3998892712903701
7,"(1.0, 1.0, 9.0)",5460.000000000002,712,-1.9880027027680764,874.0,1260.0,0.13696871967443425,0.16007326007326003,0.20514578217874915
8,"(1.0, 1.0, 11.0)",5460.000000000002,928,-1.6435770706816069,1181.0,1781.0,0.19328740151984694,0.21630036630036623,0.2794046277288035
9,"(1.0, 1.0, 12.0)",4410.0,387,-1.7292885477598432,481.0,713.0,0.17741058423865677,0.1090702947845805,0.1497816753307521
10,"(1.0, 1.0, 13.0)",4410.0,439,-1.614402174447651,548.0,814.0,0.19900960791412098,0.12426303854875284,0.1691391961168443
11,"(1.0, 1.0, 14.0)",4410.0,531,-1.5377685450969665,667.0,1013.0,0.2148600173277666,0.1512471655328798,0.2068295103377708
12,"(1.0, 2.0, 2.0)",3990.0,632,-1.6453546446487,812.0,1318.0,0.1929441240576681,0.20350877192982456,0.28890999428395553
13,"(1.0, 2.0, 3.0)",7980.0,1600,-1.4468678639514252,2079.0,3331.0,0.23530614595094068,0.26052631578947366,0.34954458514707826
14,"(1.0, 2.0, 4.0)",13019.999999999998,2213,-1.6836692697863145,2836.0,4410.0,0.1856913727338704,0.2178187403993856,0.29126467375017995
15,"(1.0, 2.0, 6.0)",13019.999999999998,2397,-1.6481422813034037,3062.0,4786.0,0.1924070149255067,0.2351766513056836,0.31228026833348677
16,"(1.0, 2.0, 7.0)",13019.999999999998,2769,-1.4441618152802072,3706.0,6138.0,0.23594375815025617,0.28463901689708143,0.3904092014884345
17,"(1.0, 2.0, 8.0)",10920.000000000004,2550,-1.3053690492181076,3484.0,5902.0,0.27107247749778457,0.31904761904761897,0.4386848072562357
18,"(1.0, 2.0, 9.0)",10920.000000000004,1463,-1.9502291683526032,1834.0,2742.0,0.14224147060760894,0.16794871794871788,0.22289212923828305
19,"(1.0, 2.0, 11.0)",10920.000000000004,2005,-1.6058035362661336,2579.0,4065.0,0.20072819770423964,0.23617216117216108,0.31647545754001793
20,"(1.0, 2.0, 12.0)",8820.0,855,-1.6915150133443682,1041.0,1493.0,0.1842401861055865,0.11802721088435374,0.15534395390809386
21,"(1.0, 2.0, 13.0)",8820.0,899,-1.5766286400321778,1089.0,1551.0,0.20667068628540236,0.12346938775510204,0.16060565042343466
22,"(1.0, 2.0, 14.0)",8820.0,1026,-1.4999950106814914,1280.0,1896.0,0.22313127341864492,0.14512471655328799,0.19390480303988564
23,"(1.0, 3.0, 3.0)",3990.0,959,-1.2483810832541522,1295.0,2173.0,0.28696899992526503,0.32456140350877194,0.43927142417447124
24,"(1.0, 3.0, 4.0)",13019.999999999998,2763,-1.4851824890890413,3683.0,6045.0,0.22646101024194437,0.2828725038402458,0.38426886085686446
25,"(1.0, 3.0, 6.0)",13019.999999999998,2901,-1.449655500606129,3828.0,6242.0,0.2346511113368459,0.2940092165898618,0.3929748632023049
26,"(1.0, 3.0, 7.0)",13019.999999999998,3438,-1.2456750345829324,4675.0,7909.0,0.28774660364844185,0.359062980030722,0.4785238531763729
27,"(1.0, 3.0, 8.0)",10920.000000000004,2994,-1.1068822685208328,4162.0,7322.0,0.3305880407859033,0.381135531135531,0.525248527418857
28,"(1.0, 3.0, 9.0)",10920.000000000004,1785,-1.7517423876553284,2330.0,3686.0,0.17347142550486117,0.2133699633699633,0.292019046277288
29,"(1.0, 3.0, 11.0)",10920.000000000004,2409,-1.4073167555688588,3182.0,5172.0,0.24479925893646795,0.2913919413919413,0.38871711011820886
30,"(1.0, 3.0, 12.0)",8820.0,1001,-1.4930282326470952,1236.0,1824.0,0.22469120701925085,0.1401360544217687,0.18716460733953444
31,"(1.0, 3.0, 13.0)",8820.0,1160,-1.378141859334903,1436.0,2126.0,0.2520464559797577,0.16281179138321997,0.2145354044868136
32,"(1.0, 3.0, 14.0)",8820.0,1207,-1.3015082299842184,1521.0,2311.0,0.2721210622282237,0.17244897959183675,0.23227949002730344
33,"(1.0, 4.0, 4.0)",9765.000000000002,1834,-1.7219838949239286,2447.0,4029.0,0.17871125164445675,0.25058883768561185,0.34980124057176726
34,"(1.0, 4.0, 6.0)",19530.000000000004,3810,-1.686456906441018,4979.0,7969.0,0.18517445348304554,0.2549411162314388,0.34304394174519537
35,"(1.0, 4.0, 7.0)",19530.000000000004,4489,-1.4824764404178217,6114.0,10408.0,0.22707465465916146,0.31305683563748077,0.4349191247779028
