,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-20.90987946513892,-19.80541824015712,1729220301828.0,7340,1.0477092414722682e-09,3.8446112238511375e-20,4.650650927182968e-09,5.558574550876133e-09,1.1952250637320299
1,-21.243017006367417,-20.90995593878904,1821974089084.0,8657,7.070066077667176e-10,4.4103594313340044e-21,5.214673499981902e-09,6.272866348061696e-09,1.2029260025731345
2,-inf,-21.2432494726192,1660935574774.0,6079,4.785656313051746e-10,6.478623529246323e-21,4.002563435312402e-09,4.811745918849629e-09,1.2021660609777673
