,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",346104.0,1,-inf,2.0,4.0,0.0,5.778609897603032e-06,1.1557186402873715e-05
1,"(1.0, 1.0, 1.0, 1.0, 1.0, 3.0, 14.0)",20189400.0,1,-21.11707720084433,2.0,4.0,6.74481275759755e-10,9.906188395890913e-08,1.981237581045614e-07
2,"(1.0, 1.0, 1.0, 1.0, 1.0, 4.0, 14.0)",28690199.99999999,1,-21.353878606679224,1.0,1.0,5.322655448414562e-10,3.485510731887545e-08,3.485510610399694e-08
3,"(1.0, 1.0, 1.0, 1.0, 1.0, 6.0, 14.0)",28690199.99999999,3,-21.31835161819632,3.0,3.0,5.515152541707836e-10,1.0456532195662634e-07,1.0456531102271978e-07
4,"(1.0, 1.0, 1.0, 1.0, 1.0, 7.0, 14.0)",28690199.99999999,2,-21.11437115217312,2.0,2.0,6.763089266606491e-10,6.97102146377509e-08,6.971020977823688e-08
5,"(1.0, 1.0, 1.0, 1.0, 1.0, 8.0, 14.0)",24439800.0,2,-20.975578386111017,2.0,2.0,7.770018488347589e-10,8.183373022692493e-08,8.183372353016554e-08
6,"(1.0, 1.0, 1.0, 1.0, 1.0, 9.0, 14.0)",24439800.0,1,-21.62043850524552,1.0,1.0,4.0772079357997407e-10,4.091686511346247e-08,4.091686343927262e-08
7,"(1.0, 1.0, 1.0, 1.0, 1.0, 11.0, 12.0)",24439800.0,1,-21.467532875821924,1.0,1.0,4.75082389278622e-10,4.091686511346247e-08,4.091686343927262e-08
8,"(1.0, 1.0, 1.0, 1.0, 1.0, 11.0, 14.0)",24439800.0,2,-21.276012873159047,2.0,2.0,5.753670832581569e-10,8.183373022692493e-08,8.183372353016554e-08
9,"(1.0, 1.0, 1.0, 1.0, 1.0, 12.0, 12.0)",12751199.999999998,1,-21.55324435290016,1.0,1.0,4.360586545252046e-10,7.842399146746974e-08,7.84239853171473e-08
10,"(1.0, 1.0, 1.0, 1.0, 1.0, 12.0, 14.0)",25502400.0,1,-21.36172435023728,1.0,1.0,5.281058650997509e-10,3.921199573373486e-08,3.9211994196154254e-08
11,"(1.0, 1.0, 1.0, 1.0, 1.0, 13.0, 14.0)",25502400.0,1,-21.24683797692509,1.0,1.0,5.924006259359851e-10,3.921199573373486e-08,3.9211994196154254e-08
12,"(1.0, 1.0, 1.0, 1.0, 1.0, 14.0, 14.0)",12751199.999999998,4,-21.170204347574405,5.0,7.0,6.395832346371554e-10,3.921199573373487e-07,5.489677865142272e-07
13,"(1.0, 1.0, 1.0, 1.0, 2.0, 2.0, 14.0)",50473499.99999999,1,-21.277790447126137,2.0,4.0,5.743452341846598e-10,3.9624753583563657e-08,7.924950559700621e-08
14,"(1.0, 1.0, 1.0, 1.0, 2.0, 3.0, 14.0)",100947000.0,7,-21.079303666428864,8.0,10.0,7.004461222197631e-10,7.92495071671273e-08,9.906187767842475e-08
15,"(1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 6.0)",149189040.00000003,1,-21.464252342885665,1.0,1.0,4.766434718955404e-10,6.70290525362989e-09,6.702905208700952e-09
16,"(1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 14.0)",143450999.99999994,4,-21.31610507226376,4.0,4.0,5.527556513046671e-10,2.788408585510036e-08,2.7884085077578117e-08
17,"(1.0, 1.0, 1.0, 1.0, 2.0, 6.0, 13.0)",143450999.99999994,1,-21.357211713131527,1.0,1.0,5.304944004657051e-10,6.97102146377509e-09,6.97102141517995e-09
18,"(1.0, 1.0, 1.0, 1.0, 2.0, 6.0, 14.0)",143450999.99999994,4,-21.28057808378084,6.0,10.0,5.727463978801058e-10,4.1826128782650537e-08,6.971021288832585e-08
19,"(1.0, 1.0, 1.0, 1.0, 2.0, 7.0, 14.0)",143450999.99999994,3,-21.07659761775765,3.0,3.0,7.023441304111135e-10,2.0913064391325268e-08,2.0913063953969008e-08
20,"(1.0, 1.0, 1.0, 1.0, 2.0, 8.0, 14.0)",122199000.0,6,-20.937804851695542,7.0,9.0,8.069133295966459e-10,5.7283611158847454e-08,7.365035392282033e-08
21,"(1.0, 1.0, 1.0, 1.0, 2.0, 9.0, 14.0)",122199000.0,7,-21.58266497083004,9.0,15.0,4.2341642247928627e-10,7.365035720423244e-08,1.2275058991601227e-07
22,"(1.0, 1.0, 1.0, 1.0, 2.0, 11.0, 14.0)",122199000.0,4,-21.23823933874357,6.0,12.0,5.975164275199632e-10,4.910023813615496e-08,9.820047386147654e-08
23,"(1.0, 1.0, 1.0, 1.0, 2.0, 12.0, 14.0)",127512000.0,4,-21.32395081582181,4.0,4.0,5.484358404374654e-10,3.136959658698789e-08,3.13695956029363e-08
24,"(1.0, 1.0, 1.0, 1.0, 2.0, 13.0, 13.0)",63755999.99999999,1,-21.285698071860303,1.0,1.0,5.698214374213854e-10,1.5684798293493948e-08,1.568479804748105e-08
25,"(1.0, 1.0, 1.0, 1.0, 2.0, 13.0, 14.0)",127512000.0,4,-21.20906444250961,6.0,12.0,6.152056938423088e-10,4.7054394880481834e-08,9.410878754684759e-08
26,"(1.0, 1.0, 1.0, 1.0, 2.0, 14.0, 14.0)",63755999.99999999,9,-21.13243081315893,12.0,20.0,6.642046453161192e-10,1.8821757952192736e-07,3.1369593044402173e-07
27,"(1.0, 1.0, 1.0, 1.0, 3.0, 3.0, 14.0)",50473499.99999999,2,-20.88081688573159,3.0,5.0,8.542332049280324e-10,5.9437130375345485e-08,9.906188042613667e-08
28,"(1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 12.0)",143450999.99999994,2,-21.30913829422936,2.0,2.0,5.566200227134102e-10,1.394204292755018e-08,1.3942042733169619e-08
29,"(1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 14.0)",143450999.99999994,7,-21.11761829156648,9.0,15.0,6.741164189184065e-10,6.27391931739758e-08,1.0456531802041998e-07
30,"(1.0, 1.0, 1.0, 1.0, 3.0, 6.0, 14.0)",143450999.99999994,6,-21.082091303083565,6.0,6.0,6.984962519624102e-10,4.1826128782650537e-08,4.182612703322549e-08
31,"(1.0, 1.0, 1.0, 1.0, 3.0, 7.0, 12.0)",143450999.99999994,2,-21.06963083972325,3.0,5.0,7.072542902082192e-10,2.0913064391325268e-08,3.485510688151918e-08
