,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-10.813590578399497,-10.049496185846248,605825411.0000001,14411,2.2861896705904988e-05,7.201931507065536e-12,2.6560457365826798e-05,3.286189759326639e-05,1.2372486640089124
1,-10.959181474202577,-10.814253378765155,847894834.0,14547,1.8557193329598585e-05,5.689818072150357e-13,1.8941028245491114e-05,2.2938806827411782e-05,1.211064466042942
2,-11.058855305002382,-10.959678366487354,998777020.0000002,15523,1.6462647653750863e-05,2.232095582799745e-13,1.714296550395202e-05,2.0769106680232428e-05,1.2115235518752518
3,-11.138573658175934,-11.059226075787194,949209855.0000002,12939,1.508578863129031e-05,1.3201041150199911e-13,1.500300478865129e-05,1.8074808486063183e-05,1.2047458898183572
4,-11.204312109962892,-11.138675620859807,1033839495.0,12410,1.4066955570730677e-05,6.868064957893158e-14,1.3221588134432802e-05,1.594137131906708e-05,1.2057077476850555
5,-11.271733161593152,-11.204446200805464,1090218415.0000005,13390,1.3139435782514648e-05,6.4612864793986e-14,1.3506467875980606e-05,1.620299278953247e-05,1.1996469301744237
6,-11.325220612844303,-11.272025191174002,1041229350.0000002,10505,1.2398596668426668e-05,3.809925036653187e-14,1.1082092528413647e-05,1.334467965557666e-05,1.2041660528697682
7,-11.380998358880891,-11.325300261134943,983741920.0,10261,1.1711953417596744e-05,3.6944932278563005e-14,1.1428810515668582e-05,1.3612179407667585e-05,1.1910407782210346
8,-11.433773375120346,-11.381066934368178,1068196095.0000001,10111,1.1119269525001694e-05,2.5647595630218308e-14,1.0331436382942402e-05,1.2246708299629271e-05,1.1853829245081025
9,-11.486674419167242,-11.433897926662034,959236935.0000001,8808,1.0544273992081776e-05,2.656654965033119e-14,1.0066334653804796e-05,1.2038634437562167e-05,1.195930278996372
10,-11.543702988433433,-11.486728005580048,1123905585.0,10130,9.9755380856222e-06,2.6859219811345732e-14,9.849581804507181e-06,1.1689497000879682e-05,1.1868013491366032
11,-11.598423781629702,-11.543805065371956,950490600.0,7685,9.445899475635245e-06,2.315366436627259e-14,8.921708431414261e-06,1.0823804405758986e-05,1.2131986228661746
12,-11.658715883588254,-11.598794348132348,975700545.0000002,7949,8.90380755654132e-06,2.3063383484196495e-14,8.918720036176672e-06,1.0634330832825602e-05,1.1923606489077556
13,-11.731275772560393,-11.658906584065358,994537295.0000002,7211,8.364041765070753e-06,3.079596233805912e-14,7.951436351112402e-06,9.540051607658748e-06,1.1997897179329287
14,-11.812997108816903,-11.731301948692874,1049241206.0000002,7764,7.72813470914789e-06,3.1194341769435046e-14,8.125872250579528e-06,9.747930847859962e-06,1.1996165477460476
15,-11.915452775478109,-11.813467939223848,986774041.0000002,6717,7.054804278402594e-06,4.597812644229916e-14,7.479929237416977e-06,8.997951325963484e-06,1.2029460432559649
16,-12.103893795518731,-11.915554738161982,1017004850.0,6069,6.1383642362133556e-06,1.0919518462822564e-13,6.5073435982139126e-06,7.708868777174531e-06,1.1846414057642844
17,-12.956819762431834,-12.104782413472424,666700580.0,3310,4.808526835394925e-06,3.790931650911392e-13,5.43422356104745e-06,6.502139703865322e-06,1.1965167151715168
