,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 7.0)",94622850.0,1,-21.42777042240209,1.0,1.0,4.94353423476226e-10,1.0568271828633358e-08,1.0568271716944988e-08
1,"(1.0, 1.0, 1.0, 1.0, 2.0, 4.0, 14.0)",66235994.99999999,1,-21.47620720126052,1.0,1.0,4.709791919865534e-10,1.5097531183761942e-08,1.5097530955826494e-08
2,"(1.0, 1.0, 1.0, 1.0, 2.0, 7.0, 13.0)",66235994.99999999,1,-21.33061630545744,1.0,1.0,5.447924031633536e-10,1.5097531183761942e-08,1.5097530955826494e-08
3,"(1.0, 1.0, 1.0, 1.0, 2.0, 8.0, 11.0)",66134250.00000001,1,-21.21426224555557,1.0,1.0,6.120162719870367e-10,1.5120758154813882e-08,1.5120757926176555e-08
4,"(1.0, 1.0, 1.0, 1.0, 2.0, 11.0, 12.0)",55552770.00000001,1,-21.596981613299363,1.0,1.0,4.173977076396867e-10,1.8000902565254618e-08,1.8000902241222124e-08
5,"(1.0, 1.0, 1.0, 1.0, 3.0, 4.0, 8.0)",82006470.00000001,1,-21.08978080742081,1.0,1.0,6.931457596840332e-10,1.2194159802269257e-08,1.2194159653571723e-08
6,"(1.0, 1.0, 1.0, 1.0, 4.0, 13.0, 14.0)",77924699.99999999,1,-21.40078398581065,1.0,1.0,5.078759018903076e-10,1.2832901506197652e-08,1.283290134151429e-08
7,"(1.0, 1.0, 1.0, 1.0, 6.0, 7.0, 11.0)",144717300.0000001,1,-21.34042562066204,1.0,1.0,5.394744879548384e-10,6.9100238879525765e-09,6.910023840204146e-09
8,"(1.0, 1.0, 1.0, 1.0, 6.0, 7.0, 14.0)",116887050.0,1,-21.2453242114739,1.0,1.0,5.932980606182269e-10,8.555267670798434e-09,8.555267597605829e-09
9,"(1.0, 1.0, 1.0, 1.0, 6.0, 11.0, 14.0)",101302110.0,1,-21.388862399520463,1.0,1.0,5.139668228605891e-10,9.871462697075116e-09,9.87146259962934e-09
10,"(1.0, 1.0, 1.0, 1.0, 7.0, 8.0, 8.0)",60298875.0,1,-20.735408594110705,2.0,4.0,9.879306686138612e-10,3.316811466217239e-08,6.633622822422095e-08
11,"(1.0, 1.0, 1.0, 1.0, 9.0, 11.0, 11.0)",46683000.00000001,1,-21.77902309340208,1.0,1.0,3.479288561508791e-10,2.1421074052652998e-08,2.1421073593790584e-08
12,"(1.0, 1.0, 1.0, 2.0, 2.0, 4.0, 13.0)",132471990.0,1,-21.53624353638749,1.0,1.0,4.435353828618604e-10,7.548765591880971e-09,7.548765534897109e-09
13,"(1.0, 1.0, 1.0, 2.0, 2.0, 6.0, 6.0)",94622850.0,1,-21.60003719512802,1.0,1.0,4.161242613393895e-10,1.0568271828633358e-08,1.0568271716944988e-08
14,"(1.0, 1.0, 1.0, 2.0, 2.0, 8.0, 8.0)",66134250.00000001,1,-20.91930492354597,1.0,1.0,8.219801056430495e-10,1.5120758154813882e-08,1.5120757926176555e-08
15,"(1.0, 1.0, 1.0, 2.0, 2.0, 8.0, 11.0)",132268500.0,1,-21.18395581430628,1.0,1.0,6.308482243165264e-10,7.560379077406941e-09,7.560379020247609e-09
16,"(1.0, 1.0, 1.0, 2.0, 2.0, 9.0, 9.0)",66134250.00000001,1,-22.19015576451497,1.0,1.0,2.3064168323610497e-10,1.5120758154813882e-08,1.5120757926176555e-08
17,"(1.0, 1.0, 1.0, 2.0, 2.0, 9.0, 11.0)",132268500.0,1,-21.81938123479078,1.0,1.0,3.341666702172393e-10,7.560379077406941e-09,7.560379020247609e-09
18,"(1.0, 1.0, 1.0, 2.0, 2.0, 11.0, 12.0)",111105540.0,1,-21.56667518205007,1.0,1.0,4.3024117944345e-10,9.00045128262731e-09,9.000451201619187e-09
19,"(1.0, 1.0, 1.0, 2.0, 3.0, 3.0, 7.0)",100931040.0,1,-20.94197926512293,1.0,1.0,8.035519605121491e-10,9.907754839343774e-09,9.907754741180167e-09
20,"(1.0, 1.0, 1.0, 2.0, 3.0, 3.0, 11.0)",84651840.00000001,1,-21.085517453169498,1.0,1.0,6.961071939413946e-10,1.1813092308448344e-08,1.1813092168899194e-08
21,"(1.0, 1.0, 1.0, 2.0, 3.0, 6.0, 8.0)",328025880.00000006,1,-21.04279414706945,1.0,1.0,7.264916350172821e-10,3.0485399505673143e-09,3.0485399412737184e-09
22,"(1.0, 1.0, 1.0, 2.0, 3.0, 7.0, 8.0)",328025880.00000006,2,-20.823540713992173,2.0,2.0,9.045887331800399e-10,6.0970799011346285e-09,6.097079863960245e-09
23,"(1.0, 1.0, 1.0, 2.0, 3.0, 7.0, 11.0)",328025880.00000006,1,-21.08819160475248,1.0,1.0,6.942481845310968e-10,3.0485399505673143e-09,3.0485399412737184e-09
24,"(1.0, 1.0, 1.0, 2.0, 3.0, 7.0, 12.0)",264943980.0,1,-21.20626008173596,1.0,1.0,6.169333739447324e-10,3.7743827959404854e-09,3.7743827816945195e-09
25,"(1.0, 1.0, 1.0, 2.0, 3.0, 8.0, 9.0)",264537000.00000003,1,-21.33785343176293,1.0,1.0,5.408639043988354e-10,3.7801895387034705e-09,3.7801895244136375e-09
26,"(1.0, 1.0, 1.0, 2.0, 3.0, 8.0, 11.0)",264537000.00000003,2,-20.96707890203874,3.0,5.0,7.836341091416427e-10,1.134056861611041e-08,1.8900947564908856e-08
27,"(1.0, 1.0, 1.0, 2.0, 3.0, 8.0, 13.0)",222211080.00000003,2,-20.962320259226864,2.0,2.0,7.873720306251822e-10,9.000451282627309e-09,9.000451201619186e-09
28,"(1.0, 1.0, 1.0, 2.0, 3.0, 9.0, 11.0)",264537000.00000003,1,-21.60250432252324,1.0,1.0,4.150988951490251e-10,3.7801895387034705e-09,3.7801895244136375e-09
29,"(1.0, 1.0, 1.0, 2.0, 3.0, 9.0, 13.0)",222211080.00000003,1,-21.59774567971136,1.0,1.0,4.170789098776756e-10,4.5002256413136545e-09,4.500225621061624e-09
30,"(1.0, 1.0, 1.0, 2.0, 3.0, 11.0, 14.0)",222211080.00000003,1,-21.13662838361091,1.0,1.0,6.61422442853404e-10,4.5002256413136545e-09,4.500225621061624e-09
31,"(1.0, 1.0, 1.0, 2.0, 4.0, 4.0, 14.0)",233774100.00000003,1,-21.46763167150602,1.0,1.0,4.750354555074365e-10,4.277633835399216e-09,4.277633817101065e-09
32,"(1.0, 1.0, 1.0, 2.0, 4.0, 6.0, 8.0)",578869200.0000004,1,-21.281401960831783,1.0,1.0,5.722747195960184e-10,1.7275059719881441e-09,1.7275059690038671e-09
33,"(1.0, 1.0, 1.0, 2.0, 4.0, 6.0, 9.0)",578869200.0000004,1,-21.91682738131628,1.0,1.0,3.0313969371015306e-10,1.7275059719881441e-09,1.7275059690038671e-09
34,"(1.0, 1.0, 1.0, 2.0, 4.0, 6.0, 12.0)",467548200.00000006,1,-21.664121328575572,1.0,1.0,3.9029379941810266e-10,2.138816917699608e-09,2.13881691312507e-09
35,"(1.0, 1.0, 1.0, 2.0, 4.0, 7.0, 8.0)",578869200.0000004,1,-21.062148527754506,1.0,1.0,7.125660347321277e-10,1.7275059719881441e-09,1.7275059690038671e-09
36,"(1.0, 1.0, 1.0, 2.0, 4.0, 7.0, 14.0)",467548200.00000006,1,-21.23169800932667,1.0,1.0,6.014377907862351e-10,2.138816917699608e-09,2.13881691312507e-09
37,"(1.0, 1.0, 1.0, 2.0, 4.0, 8.0, 14.0)",405208440.0,1,-21.11058530661293,1.0,1.0,6.788741805716285e-10,2.467865674268779e-09,2.467865668178418e-09
38,"(1.0, 1.0, 1.0, 2.0, 4.0, 9.0, 11.0)",482391000.0,1,-21.841112136285567,1.0,1.0,3.269832608883048e-10,2.073007166385774e-09,2.0730071620884154e-09
39,"(1.0, 1.0, 1.0, 2.0, 4.0, 14.0, 14.0)",155849399.99999997,1,-21.2801347881851,1.0,1.0,5.730003501195561e-10,6.416450753098826e-09,6.416450711927986e-09
40,"(1.0, 1.0, 1.0, 2.0, 6.0, 6.0, 8.0)",289434600.0000002,1,-21.26472173172972,1.0,1.0,5.819004495389916e-10,3.4550119439762882e-09,3.4550119320391807e-09
41,"(1.0, 1.0, 1.0, 2.0, 6.0, 6.0, 12.0)",233774100.00000003,1,-21.64744109947351,1.0,1.0,3.968585882912978e-10,4.277633835399216e-09,4.277633817101065e-09
42,"(1.0, 1.0, 1.0, 2.0, 6.0, 7.0, 9.0)",578869200.0000004,1,-21.68089371913694,1.0,1.0,3.838022311195569e-10,1.7275059719881441e-09,1.7275059690038671e-09
43,"(1.0, 1.0, 1.0, 2.0, 6.0, 8.0, 12.0)",405208440.0,1,-21.307074963682485,1.0,1.0,5.57769699482996e-10,2.467865674268779e-09,2.467865668178418e-09
44,"(1.0, 1.0, 1.0, 2.0, 6.0, 8.0, 14.0)",405208440.0,1,-21.093905077510865,1.0,1.0,6.902929263307505e-10,2.467865674268779e-09,2.467865668178418e-09
45,"(1.0, 1.0, 1.0, 2.0, 6.0, 9.0, 11.0)",482391000.0,1,-21.824431907183502,1.0,1.0,3.324831588523552e-10,2.073007166385774e-09,2.0730071620884154e-09
46,"(1.0, 1.0, 1.0, 2.0, 6.0, 9.0, 14.0)",405208440.0,2,-21.729330497995363,2.0,2.0,3.656551287219308e-10,4.935731348537558e-09,4.9357313241761135e-09
47,"(1.0, 1.0, 1.0, 2.0, 6.0, 13.0, 13.0)",155849399.99999997,1,-21.444140091835564,1.0,1.0,4.863268963838296e-10,6.416450753098826e-09,6.416450711927986e-09
48,"(1.0, 1.0, 1.0, 2.0, 7.0, 7.0, 9.0)",289434600.0000002,1,-21.46164028605965,1.0,1.0,4.778901191778452e-10,3.4550119439762882e-09,3.4550119320391807e-09
