,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-15.99323586380286,-15.197708734546474,32807585824.999985,3309,1.3361552726354035e-07,3.6539298459237473e-16,1.1189485320808428e-07,1.37071944678331e-07,1.2250066949731224
1,-16.183438682179137,-15.993453901283344,37096309174.999985,4956,1.0279612417491606e-07,3.079309469432832e-17,1.4750793601018672e-07,1.792091812011532e-07,1.214912132985063
2,-16.32365225213835,-16.185027884847464,36732664724.999985,7938,8.733541132822273e-08,1.3683904396791143e-17,2.3826205001793546e-07,2.8797251693888766e-07,1.2086377872746679
3,-16.46016341943114,-16.324270935170343,37284251199.999985,7803,7.611289244144256e-08,9.34917342917066e-18,2.302312564614414e-07,2.7791889846764304e-07,1.2071293130645755
4,-16.60615993806193,-16.460307013118793,35877518949.999985,12598,6.605247029984928e-08,7.782750933026614e-18,3.865651919612464e-07,4.66893897040987e-07,1.2078011852655655
5,-16.808925711306497,-16.606250544647402,36809780499.999985,15245,5.5983616986500784e-08,1.009720740498527e-17,4.5479760467465996e-07,5.452081515735555e-07,1.1987929266986215
6,-inf,-16.809350641348196,27808356049.999992,16363,4.22696354599791e-08,4.6412119658131657e-17,6.425406797824715e-07,7.632234167644419e-07,1.1878211617300476
