,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-20.76131486142057,-19.60604068146008,1830312962010.0,8082,1.2200747375556012e-09,5.3470376657442756e-20,5.179442093656661e-09,6.998803055424628e-09,1.3512658175950445
1,-21.08594684453657,-20.76177252516764,1941840816484.0,9306,8.252835056865562e-10,5.548438072669042e-21,5.694596542687882e-09,7.854402795304937e-09,1.379272918883919
2,-inf,-21.08602843252005,1756975023212.0,6720,5.631268340968465e-10,8.578602506464765e-21,4.494087790482639e-09,6.0774910419578885e-09,1.3523302893236588
