,edge_sx,edge_dx,n_lambdas,n_nonzeros,mean_lambda,var_lambda,mean_count,var_count,F
0,-0.8588839147555181,-0.5876243239414478,33150.0,11041,0.47125635741147925,0.001136981310918661,0.5228959276018099,0.828359637736055,1.5820024841636826
1,-0.9210430514669312,-0.8652098560656469,59202.000000000015,19551,0.41263988228610676,9.2884805823229e-05,0.5010810445593054,0.7494076350992904,1.495396320474426
2,-0.9659245445096544,-0.923749100138151,45266.00000000001,13765,0.39012092334386267,5.3551478049446155e-05,0.4578270666725577,0.7008348842459663,1.530668201557254
3,-1.0040026221277465,-0.9737702880677102,45172.00000000001,9631,0.3705355145665286,1.6834088667289082e-05,0.29398742583901527,0.4243302706291037,1.443304710497334
4,-1.0295576257227914,-1.0067086707989643,51405.0,16860,0.3601952774029035,1.1838002277470006e-05,0.486236747398113,0.7063420386885355,1.4526466879886817
5,-1.0664026854341395,-1.0535098762189037,55692.00000000001,11971,0.34587659198844906,2.5991247645101856e-06,0.2932198520433814,0.41685915061645434,1.4216518717498587
6,-1.104176219849613,-1.0691087341053596,82602.00000000001,24445,0.339921134681855,2.0894356544856607e-05,0.42903319532214707,0.6230901502503381,1.4522635140759932
7,-1.1152691028010295,-1.104717310571754,80418.00000000001,21337,0.3299780190348855,1.6139758597932818e-06,0.380860006466214,0.5592655838487999,1.4684239888090014
8,-1.1301435055695883,-1.1156690129303168,44772.0,6798,0.32533168889822495,1.889331664048366e-06,0.19807022246046635,0.2783774070227058,1.4054385067730404
9,-1.160009415250899,-1.1364694468797172,52962.0,9340,0.31709685952368327,1.1214734627271183e-05,0.23222310335712398,0.32304082269949647,1.391031311247695
10,-1.1710564404561108,-1.16055050597304,62322.000000000015,14473,0.31162779711995925,1.2487516514170238e-06,0.32306408651840435,0.4648026007194641,1.438728015165294
11,-1.1988695101861104,-1.171502208331603,42436.0,6326,0.30322716037498526,2.6417562306868536e-06,0.19747384296352155,0.28615254020090697,1.449052158758745
12,-1.2106075488386772,-1.201657146840814,57186.000000000015,14719,0.2994538963235197,7.97465927321328e-07,0.3581995593327037,0.504750117627197,1.4091288138421392
13,-1.2280444064200662,-1.210689136822161,68082.00000000001,15897,0.2954192559630454,3.9429744086438845e-06,0.3215974853852706,0.4562384045340838,1.4186505874357531
14,-1.2429689859117126,-1.23083204307477,66107.0,15363,0.29070517959614844,1.4260714696345822e-06,0.32600178498494864,0.47966683606561134,1.4713582320301948
15,-1.2481358376822875,-1.2435100766338536,60945.000000000015,14363,0.2878216849016648,1.2710479034561128e-07,0.32873902699154967,0.47102655827753376,1.4328278436647295
16,-1.2567679175343471,-1.2483810832541522,38346.0,7181,0.28587039784712587,5.849065631141626e-07,0.24766598862984404,0.3418587624780256,1.380319435311709
17,-1.2663590315576805,-1.2610286468975254,75821.0,15950,0.2824260615788681,2.848213825901169e-07,0.28831062634362514,0.41681763242542774,1.445723152455915
18,-1.2716423203029077,-1.2665223322234471,46977.0,9001,0.28115430665316676,2.6402842645545377e-07,0.2590842327096239,0.3747298849158347,1.4463621231145982
19,-1.2988021813129986,-1.27317078811204,61797.000000000015,11148,0.27632063756883013,1.1143731686980018e-05,0.23984983089794,0.3431063936183104,1.4304585856998835
20,-1.3053690492181076,-1.2993432720351397,64407.000000000015,10729,0.27212435442721566,3.027802919219891e-07,0.2188737249056779,0.30595334513336525,1.3978518549219263
21,-1.3098950642644134,-1.3059101399402486,79872.00000000001,17178,0.27039326115203344,1.146249474781591e-07,0.3001677684294871,0.44351559685375397,1.4775586484496033
22,-1.324769467032974,-1.3137558834983023,43302.00000000001,5492,0.26792237746630854,6.782509333058684e-07,0.16417255554015978,0.23181140138249973,1.4119943639109707
23,-1.3404499129029137,-1.3272860640995994,58921.0,10760,0.2628123345041859,1.8814824582213951e-06,0.24015206802328543,0.3299307248259621,1.3738330302927626
24,-1.3515294179137776,-1.3431425836335809,59613.0,12397,0.2605066345196341,6.681591842028212e-07,0.28480365021052456,0.4112962546210678,1.444137342192971
25,-1.3599162521939725,-1.3520705086359168,44226.00000000001,4760,0.2581506942187404,3.948858092045482e-07,0.13765658210102652,0.19490676814925492,1.415888512475222
26,-1.371277209138043,-1.3630222109944796,76166.00000000001,18534,0.254340165568788,2.881094848389276e-07,0.3381561326576162,0.48232086032180277,1.4263250777730787
27,-1.378141859334903,-1.3723308578080893,72597.0,13462,0.25286198970306156,2.135167908451363e-07,0.24516164579803573,0.3424468370330256,1.3968197284755643
28,-1.393495471649496,-1.378682950057044,51156.0,5356,0.25045462135767055,1.5054890257076847e-06,0.13048322777386817,0.17808320538371705,1.364786133305293
29,-1.406388280864732,-1.3962831083041998,61966.000000000015,13030,0.24581320173851506,8.02561110228861e-07,0.28707678404286213,0.41042170042703285,1.4296554813176552
30,-1.4118819661906556,-1.4073167555688588,64386.00000000001,15286,0.2443741071208967,1.4969056514463341e-07,0.3206908334109899,0.4377718086498599,1.3650894049667355
31,-1.4226703678834518,-1.4119635541741395,63108.00000000001,11551,0.2428581980640436,8.079718390452406e-07,0.2448500982442796,0.3463994466934365,1.4147375933498947
32,-1.4318100967871104,-1.4254580045381555,57876.00000000001,6326,0.23963419516551598,4.123669693906207e-07,0.1378637086184256,0.19025132125464062,1.379992681135839
33,-1.446949451934909,-1.4396558403451645,68040.0,14250,0.23576878512422475,2.78734639237721e-07,0.28120223398001176,0.39069308726132324,1.3893659484741325
34,-1.452548649560402,-1.4474089546735662,86211.00000000001,19347,0.23475365698942524,1.88980723306309e-07,0.30360394845205363,0.4235824924106662,1.3951804829601442
35,-1.460443902298925,-1.45525469823162,60312.0,8072,0.23283941294290944,2.4564545545585625e-07,0.16994959543706062,0.23182810463539807,1.364097739648919
36,-1.4688307365791218,-1.460984993021066,55692.0,6784,0.23112453169047775,5.193133425993035e-07,0.15454643395819867,0.21210979750990777,1.3724631022799008
37,-1.4830175311399607,-1.470129101000181,50445.0,10216,0.22758579308448684,1.0544666083286969e-06,0.2734265041133908,0.38730554522279714,1.4164848137603094
38,-1.4903221839758771,-1.4846413983669002,43046.0,8056,0.22602473977955956,2.8580685200452205e-07,0.24894299121869629,0.34758925117549716,1.3962592948169745
39,-1.4993039972341364,-1.4908632746980164,59997.0,7345,0.22441528184944842,5.57835305593779e-07,0.1553077653882694,0.2146581036070488,1.3821430321600428
40,-1.5027826473361952,-1.4999950106814914,57498.0,7114,0.22279303253916685,5.2772038974802093e-08,0.1552227903579255,0.2109575393240724,1.3590625839516883
41,-1.508443726137795,-1.5033237380583362,52920.00000000001,5670,0.22195427944460483,2.6712114734733783e-07,0.1358654572940287,0.18962825703053537,1.3957042038949674
42,-1.5162894696958509,-1.5100699752001423,51486.0,8882,0.22040431269471514,1.8786005578225184e-07,0.23064522394437323,0.3293727997059505,1.4280486983998093
43,-1.5376186223717525,-1.5284788934680922,60892.0,10564,0.21562119427412577,4.802896523964373e-07,0.23259213032910728,0.3335544514574797,1.434072471393867
44,-1.5416427422714063,-1.5377685450969665,45927.0,5776,0.21450630155780434,1.0107566864731021e-07,0.15975352189343958,0.21827875563106308,1.3663464314795695
45,-1.5545422136573563,-1.5444303789261102,46515.00000000001,3681,0.2129924560236344,3.0349512534361134e-07,0.09773191443620335,0.13349910173004445,1.3659693356571192
46,-1.5686092192726466,-1.5659031706014268,50752.0,7885,0.20867725431578646,5.148249521830239e-08,0.20115463430012612,0.27899220402013736,1.3869536414526804
47,-1.5752576751612395,-1.5708176385053625,69641.0,14126,0.20736324615282983,1.261863270818342e-07,0.270530291064172,0.374882746031088,1.3857325121342352
48,-1.5850154743123728,-1.5766286400321778,64512.0,7181,0.2060811709790431,2.753894052520689e-07,0.13822234623015872,0.18648424074072537,1.3491593106139244
49,-1.6085911729208373,-1.5878031109670765,59122.0,9935,0.2013320311842179,2.6583498909105163e-06,0.2192415682825344,0.3027331753310407,1.3808080253787642
50,-1.6131563835426324,-1.6091322636429766,74255.00000000001,15415,0.1998033257086635,6.246554165589835e-08,0.2789172446299912,0.3899851181262979,1.3982106275935233
51,-1.615944020197336,-1.6141903705463283,43807.0,5512,0.1989076045671116,1.3650896101002896e-08,0.1594950578674641,0.21742205653617067,1.363189842947649
52,-1.623330099449987,-1.6169780072010322,57876.00000000001,5439,0.19787343846886907,2.7642333065569513e-07,0.11716428225862187,0.16028248327466108,1.3680125355740453
53,-1.644659252125889,-1.6311758430080427,55392.000000000015,8802,0.19344503112754513,4.194378567870527e-07,0.2079722703639514,0.2907307814378841,1.3979284906167986
54,-1.6486833720255447,-1.645242848623333,54516.0,9438,0.1925782179784188,8.369330910251715e-08,0.22602538704233618,0.31339267702810797,1.3865371383087075
55,-1.653741478928895,-1.6509299179581074,56052.000000000015,8571,0.19167229809843264,2.1360923037339052e-08,0.19933276243488185,0.27988037974229396,1.4040860868157707
56,-1.674417744857287,-1.6565291155835986,62696.0,9686,0.18899348790317913,1.974147483985167e-06,0.19990111011866785,0.2749719182544777,1.3755298504533695
57,-1.686456906441018,-1.6831281790641732,52815.0,9751,0.18543788417969687,5.858217139859123e-08,0.2389094007384266,0.320012140139781,1.339470445987094
58,-1.694843740721213,-1.686997997163159,69177.0,8844,0.18410887349375568,2.7815673771941496e-07,0.16480911285542882,0.23160893511333613,1.4053146269876862
59,-1.7139688532398552,-1.6983699953533993,49686.0,6242,0.18143238822233793,1.3231680118519495e-06,0.16123254035341947,0.22540285229700027,1.3979903103611184
60,-1.7214428042017893,-1.714050441223339,48946.000000000015,9373,0.1797564715635105,2.1411185521097442e-07,0.2538716136150042,0.35294796978751997,1.3902608119508364
61,-1.7292885477598432,-1.7219838949239286,32320.000000000007,4551,0.1781017720174728,2.7548517503306336e-07,0.18576732673267324,0.2662330745760219,1.4331519098294756
62,-1.7382164727621792,-1.7298296384819842,34356.0,3012,0.17682886990959906,4.2870080855378356e-07,0.11025730585632786,0.15416070920410496,1.3981865356312704
63,-1.7517423876553284,-1.746062216320233,53356.000000000015,9370,0.17381555320871622,4.006590682836819e-08,0.23193267861159,0.32477759019007363,1.4003095728828323
64,-1.7670959999699214,-1.7522834783774697,56784.0,6845,0.17232430455881953,8.090028354446055e-07,0.15419836573682727,0.2145294292337338,1.3912509332105223
65,-1.8048695343853949,-1.7698836366246231,47502.00000000001,4382,0.1671887394080745,7.833948957723658e-06,0.11426887288956253,0.16579825182003818,1.4508799612586707
66,-1.843729629320606,-1.805410625107536,47112.00000000001,4500,0.16185480335079763,6.56475236620116e-06,0.12064866700628288,0.16904892546986514,1.401112543652852
67,-1.877344562210439,-1.8465172659753093,58526.00000000001,8388,0.15462699858598683,4.104722874528899e-06,0.18516556744011206,0.25872878285978035,1.397261281963694
68,-1.910678059970035,-1.881503163736081,52962.000000000015,5055,0.1509431055227247,3.2723170445003724e-06,0.1191042634341603,0.16220479412139485,1.3618447999052006
69,-1.918030907246536,-1.911219150692176,54626.0,8642,0.14747543702379723,1.5554464313088934e-07,0.2042250942774503,0.27854254106544074,1.3638989199945402
70,-1.953016805007305,-1.919064894250232,58422.00000000001,7614,0.1431564799843454,3.946777501678822e-06,0.1642360754510287,0.22017655773591074,1.3405861675260216
71,-1.9880027027680764,-1.9535578957294464,58032.000000000015,7035,0.14085268678689006,1.7876824566394334e-06,0.15444926936862416,0.21341106973133822,1.381743551920194
72,-1.9969306277704124,-1.9885437934902173,57408.000000000015,6553,0.1363282646286352,2.943872590144281e-07,0.14555462653288737,0.20278960320323283,1.3932178842158243
73,-2.071970523673823,-2.004776371328468,29185.000000000004,3160,0.13167825375719266,1.0470696709653782e-05,0.13671406544457768,0.18730549525016738,1.3699762635570587
74,-2.220117794295735,-2.148604153024509,31525.000000000004,3469,0.11156688255795481,1.0684505978401926e-05,0.13741475019825533,0.18590703575388287,1.352812205237809
75,-2.5222046813449346,-2.2551036920565046,26325.0,2496,0.1021862244953636,5.2709708634685395e-05,0.11870845204178537,0.16266044016597989,1.369807521372676
