,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(1.0, 1.0, 1.0, 1.0, 1.0, 6.0)",630818.9999999999,1,-16.548007899247168,1.0,1.0,6.5056618051415e-08,1.5852407742950042e-06,1.5852382613066916e-06
1,"(1.0, 1.0, 1.0, 1.0, 1.0, 12.0)",427329.0,1,-16.591380631288132,1.0,1.0,6.22952516665431e-08,2.340117333483101e-06,2.3401118573339664e-06
2,"(1.0, 1.0, 1.0, 1.0, 2.0, 4.0)",3154094.9999999995,1,-16.545761353314603,1.0,1.0,6.520293502444702e-08,3.170481548590008e-07,3.170480543394683e-07
3,"(1.0, 1.0, 1.0, 1.0, 2.0, 14.0)",2136645.0,1,-16.362087094209784,1.0,1.0,7.834943383982127e-08,4.680234666966202e-07,4.680232476506548e-07
4,"(1.0, 1.0, 1.0, 1.0, 3.0, 11.0)",2645370.0000000005,1,-16.26940883909715,1.0,1.0,8.595784467242426e-08,3.78018953870347e-07,3.7801881097201755e-07
5,"(1.0, 1.0, 1.0, 1.0, 3.0, 13.0)",2136645.0,1,-16.240233942863192,1.0,1.0,8.85025968112339e-08,4.680234666966202e-07,4.680232476506548e-07
6,"(1.0, 1.0, 1.0, 1.0, 4.0, 7.0)",5566050.000000001,1,-16.344568523946112,1.0,1.0,7.973409714978858e-08,1.7966062108676708e-07,1.7966058880882832e-07
7,"(1.0, 1.0, 1.0, 1.0, 4.0, 8.0)",4823910.0,3,-16.205775757884012,3.0,3.0,9.160538691461359e-08,6.219021499157323e-07,6.219017631534482e-07
8,"(1.0, 1.0, 1.0, 1.0, 4.0, 9.0)",4823910.0,1,-16.850635877018508,1.0,1.0,4.806863858179828e-08,2.073007166385774e-07,2.0730067366499028e-07
9,"(1.0, 1.0, 1.0, 1.0, 4.0, 11.0)",4823910.0,1,-16.50621024493204,2.0,4.0,6.783346057520799e-08,4.146014332771548e-07,8.292026946599611e-07
10,"(1.0, 1.0, 1.0, 1.0, 4.0, 13.0)",3896235.0,1,-16.47703534869808,1.0,1.0,6.984164661732495e-08,2.5665803012395297e-07,2.5665796425060856e-07
11,"(1.0, 1.0, 1.0, 1.0, 6.0, 6.0)",2783025.0000000005,1,-16.513022001486398,1.0,1.0,6.737296572551502e-08,3.5932124217353415e-07,3.5932111306177907e-07
12,"(1.0, 1.0, 1.0, 1.0, 6.0, 12.0)",3896235.0,2,-16.556394733527362,3.0,5.0,6.451328060237301e-08,7.69974090371859e-07,1.283289557759665e-06
13,"(1.0, 1.0, 1.0, 1.0, 6.0, 13.0)",3896235.0,1,-16.441508360215174,1.0,1.0,7.236751253048623e-08,2.5665803012395297e-07,2.5665796425060856e-07
14,"(1.0, 1.0, 1.0, 1.0, 7.0, 7.0)",2783025.0000000005,1,-16.105061069440005,1.0,1.0,1.0131199019784759e-07,3.5932124217353415e-07,3.5932111306177907e-07
15,"(1.0, 1.0, 1.0, 1.0, 7.0, 9.0)",4823910.0,1,-16.6111284225124,1.0,1.0,6.107712528147614e-08,2.073007166385774e-07,2.0730067366499028e-07
16,"(1.0, 1.0, 1.0, 1.0, 7.0, 11.0)",4823910.0,1,-16.26670279042593,1.0,1.0,8.619076578958638e-08,2.073007166385774e-07,2.0730067366499028e-07
17,"(1.0, 1.0, 1.0, 1.0, 7.0, 12.0)",3896235.0,2,-16.352414267504166,2.0,2.0,7.911097150911651e-08,5.133160602479059e-07,5.133157967545282e-07
18,"(1.0, 1.0, 1.0, 1.0, 7.0, 13.0)",3896235.0,1,-16.237527894191974,2.0,4.0,8.874241347717731e-08,5.133160602479059e-07,1.0266318570024343e-06
19,"(1.0, 1.0, 1.0, 1.0, 7.0, 14.0)",3896235.0,1,-16.16089426484129,1.0,1.0,9.581043195483431e-08,2.5665803012395297e-07,2.5665796425060856e-07
20,"(1.0, 1.0, 1.0, 1.0, 8.0, 9.0)",3890250.000000001,1,-16.472335656450298,2.0,4.0,7.017065337218539e-08,5.141057772636719e-07,1.0282112902225935e-06
21,"(1.0, 1.0, 1.0, 1.0, 8.0, 13.0)",3267810.0000000005,1,-16.098735128129874,1.0,1.0,1.0195491531109664e-07,3.0601534360932853e-07,3.06015249963938e-07
22,"(1.0, 1.0, 1.0, 1.0, 8.0, 14.0)",3267810.0000000005,1,-16.02210149877919,1.0,1.0,1.1007526269709731e-07,3.0601534360932853e-07,3.06015249963938e-07
23,"(1.0, 1.0, 1.0, 1.0, 9.0, 12.0)",3267810.0000000005,1,-16.858481620576562,1.0,1.0,4.7692979957906826e-08,3.0601534360932853e-07,3.06015249963938e-07
24,"(1.0, 1.0, 1.0, 1.0, 9.0, 14.0)",3267810.0000000005,1,-16.666961617913685,1.0,1.0,5.776044616584863e-08,3.0601534360932853e-07,3.06015249963938e-07
25,"(1.0, 1.0, 1.0, 1.0, 12.0, 13.0)",2513700.0,1,-16.48488109225614,1.0,1.0,6.92958309330729e-08,3.9781994669212715e-07,3.9781978843141714e-07
26,"(1.0, 1.0, 1.0, 2.0, 2.0, 8.0)",5290740.000000001,1,-16.12968759833092,1.0,1.0,9.884749803920139e-08,1.890094769351735e-07,1.8900944121059114e-07
27,"(1.0, 1.0, 1.0, 2.0, 2.0, 11.0)",5290740.000000001,1,-16.430122085378947,1.0,1.0,7.31962178976448e-08,1.890094769351735e-07,1.8900944121059114e-07
28,"(1.0, 1.0, 1.0, 2.0, 3.0, 3.0)",3255840.0,1,-16.07269963236697,1.0,1.0,1.0464421884237935e-07,3.07140400019657e-07,3.0714030568443166e-07
