,label,n_lambdas,n_nonzeros,log_lambda,sum_counts,sum_counts_2,mean_lambda,mean_count,var_count
0,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",203490.0,1,-inf,4.0,16.0,0.0,1.9656985601258048e-05,7.862755600794927e-05
1,"(1.0, 1.0, 1.0, 2.0, 6.0, 9.0, 12.0, 13.0)",9620432640.000002,1,-26.754641178552465,1.0,1.0,2.4021878766985086e-12,1.0394542921512518e-10,1.0394542920432053e-10
2,"(1.0, 1.0, 1.0, 3.0, 7.0, 9.0, 12.0, 13.0)",9620432640.000002,1,-26.318510833207643,3.0,9.0,3.715488943080505e-12,3.1183628764537553e-10,9.355088628388846e-10
3,"(1.0, 1.0, 1.0, 3.0, 8.0, 12.0, 13.0, 13.0)",4070183040.0,1,-25.821864957957835,1.0,1.0,6.1052933547889654e-12,2.4568919632665955e-10,2.4568919626629636e-10
4,"(1.0, 1.0, 1.0, 9.0, 9.0, 12.0, 13.0, 13.0)",3052637279.9999986,1,-26.97427724779607,1.0,1.0,1.92850264101763e-12,3.2758559510221287e-10,3.2758559499490056e-10
5,"(1.0, 1.0, 1.0, 9.0, 11.0, 12.0, 13.0, 13.0)",6105274559.999997,1,-26.60350271807188,1.0,1.0,2.794123321560687e-12,1.6379279755110644e-10,1.6379279752427836e-10
6,"(1.0, 1.0, 2.0, 2.0, 9.0, 12.0, 13.0, 13.0)",6105274559.999999,1,-26.64386085946058,1.0,1.0,2.6836028976491806e-12,1.6379279755110638e-10,1.637927975242783e-10
7,"(1.0, 1.0, 2.0, 3.0, 6.0, 9.0, 11.0, 13.0)",33880654079.99999,1,-26.38938935805216,1.0,1.0,3.461256792271435e-12,2.951536878948e-11,2.9515368788608845e-11
8,"(1.0, 1.0, 2.0, 3.0, 7.0, 9.0, 12.0, 13.0)",28861297920.000004,1,-26.28820440195836,1.0,1.0,3.829815822706842e-12,3.464847640504173e-11,3.464847640384121e-11
9,"(1.0, 1.0, 2.0, 7.0, 9.0, 11.0, 12.0, 13.0)",43291946879.99999,1,-26.434416741587903,1.0,1.0,3.308862167803165e-12,2.3098984270027826e-11,2.3098984269494262e-11
10,"(1.0, 1.0, 2.0, 8.0, 9.0, 12.0, 13.0, 13.0)",18315823679.999992,1,-26.30854539606228,2.0,4.0,3.752700521473732e-12,1.0919519836740429e-10,2.1839039672288498e-10
11,"(1.0, 1.0, 2.0, 9.0, 11.0, 12.0, 12.0, 13.0)",18315823679.999992,1,-26.696023406617947,1.0,1.0,2.5472076228708273e-12,5.4597599183702145e-11,5.4597599180721245e-11
12,"(1.0, 1.0, 3.0, 3.0, 8.0, 9.0, 12.0, 13.0)",14985673919.999994,1,-25.950214786977067,1.0,1.0,5.369884118963236e-12,6.673039900230262e-11,6.673039899784967e-11
13,"(1.0, 1.0, 3.0, 3.0, 8.0, 12.0, 13.0, 14.0)",12210549119.999998,1,-25.484338848064738,1.0,1.0,8.556423332635533e-12,8.189639877555319e-11,8.189639876884617e-11
14,"(1.0, 1.0, 3.0, 3.0, 9.0, 9.0, 12.0, 13.0)",7492836959.999997,1,-26.58564020746157,1.0,1.0,2.844481804526754e-12,1.3346079800460523e-10,1.3346079798679345e-10
15,"(1.0, 1.0, 3.0, 3.0, 9.0, 12.0, 13.0, 13.0)",6105274559.999999,1,-26.2101070349255,1.0,1.0,4.140903832353142e-12,1.6379279755110638e-10,1.637927975242783e-10
16,"(1.0, 1.0, 3.0, 3.0, 11.0, 12.0, 12.0, 13.0)",6105274559.999999,1,-25.962159624996666,1.0,1.0,5.3061232874901715e-12,1.6379279755110638e-10,1.637927975242783e-10
17,"(1.0, 1.0, 3.0, 4.0, 7.0, 9.0, 9.0, 13.0)",23528231999.999992,1,-26.562641356193847,2.0,4.0,2.9106597093524383e-12,8.500426211370241e-11,1.7000852422017908e-10
18,"(1.0, 1.0, 3.0, 4.0, 7.0, 9.0, 12.0, 13.0)",40085136000.0,1,-26.309935303453138,1.0,1.0,3.747488238417736e-12,2.4946903011630047e-11,2.49469030110077e-11
19,"(1.0, 1.0, 3.0, 4.0, 7.0, 9.0, 12.0, 14.0)",40085136000.0,1,-26.21959253707688,1.0,1.0,4.101810980919572e-12,2.4946903011630047e-11,2.49469030110077e-11
20,"(1.0, 1.0, 3.0, 4.0, 9.0, 9.0, 12.0, 14.0)",21645973440.0,1,-26.73390525484763,2.0,4.0,2.4525194940766976e-12,9.239593708011128e-11,1.8479187415168554e-10
21,"(1.0, 1.0, 3.0, 4.0, 9.0, 12.0, 13.0, 13.0)",17637459840.000004,2,-26.44871484868783,2.0,2.0,3.261888320954457e-12,1.1339501368922746e-10,1.1339501367636903e-10
22,"(1.0, 1.0, 3.0, 4.0, 9.0, 12.0, 13.0, 14.0)",35274919680.00001,2,-26.358372082311565,2.0,2.0,3.5702978854640906e-12,5.669750684461373e-11,5.669750684139913e-11
23,"(1.0, 1.0, 3.0, 6.0, 7.0, 9.0, 11.0, 13.0)",47056463999.99999,1,-26.175186597367592,2.0,4.0,4.2880604388959845e-12,4.25021310568512e-11,8.500426211189596e-11
24,"(1.0, 1.0, 3.0, 6.0, 7.0, 9.0, 12.0, 13.0)",40085136000.0,1,-26.29325507435108,1.0,1.0,3.810521443471642e-12,2.4946903011630047e-11,2.49469030110077e-11
25,"(1.0, 1.0, 3.0, 6.0, 9.0, 9.0, 12.0, 13.0)",21645973440.0,1,-26.80756779212183,1.0,1.0,2.278354162632908e-12,4.619796854005564e-11,4.6197968537921384e-11
26,"(1.0, 1.0, 3.0, 6.0, 9.0, 11.0, 12.0, 13.0)",43291946879.99999,1,-26.436793262397643,1.0,1.0,3.3010079245876746e-12,2.3098984270027826e-11,2.3098984269494262e-11
27,"(1.0, 1.0, 3.0, 6.0, 9.0, 12.0, 12.0, 13.0)",17637459840.000004,1,-26.554861739381124,1.0,1.0,2.9333918355287346e-12,5.669750684461373e-11,5.669750684139913e-11
28,"(1.0, 1.0, 3.0, 6.0, 9.0, 12.0, 13.0, 13.0)",17637459840.000004,2,-26.432034619585764,2.0,2.0,3.3167536767119344e-12,1.1339501368922746e-10,1.1339501367636903e-10
29,"(1.0, 1.0, 3.0, 6.0, 11.0, 12.0, 13.0, 13.0)",17637459840.000004,1,-26.061260089861577,1.0,1.0,4.805499667391027e-12,5.669750684461373e-11,5.669750684139913e-11
30,"(1.0, 1.0, 3.0, 7.0, 9.0, 9.0, 12.0, 13.0)",21645973440.0,1,-26.58831435904455,1.0,1.0,2.8368853905145832e-12,4.619796854005564e-11,4.6197968537921384e-11
31,"(1.0, 1.0, 3.0, 7.0, 9.0, 12.0, 13.0, 13.0)",17637459840.000004,1,-26.212781186508483,1.0,1.0,4.1298452206070165e-12,5.669750684461373e-11,5.669750684139913e-11
32,"(1.0, 1.0, 3.0, 7.0, 9.0, 12.0, 13.0, 14.0)",35274919680.00001,1,-26.12243842013222,1.0,1.0,4.520319584121371e-12,2.8348753422306866e-11,2.8348753421503215e-11
33,"(1.0, 1.0, 3.0, 8.0, 8.0, 9.0, 12.0, 13.0)",21645973440.0,2,-25.831776235846306,2.0,2.0,6.0450809794560156e-12,9.239593708011128e-11,9.239593707157427e-11
