,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.9225225,-7.5592184,299426,179400.7830167915,229796.05665546935,12966,0.11212325644151332,0.08753413915260606,0.054408215,0.001636466372620519,0.0001689098,0.06717853493016639,0.1406481193011953
1,-7.5592184,-7.673057,463429,531318.7756497568,535888.5817468055,12966,0.03720741841999509,0.036890131033507224,0.036341142,7.836739270419182e-06,7.4363693e-06,0.04265809865157338,0.08989875913625829
2,-7.673057,-7.7470593,569615,666211.2595881876,668630.6507032758,12966,0.02982387300431074,0.029715957500753946,0.029547023,2.141756930213423e-06,2.1030748e-06,0.034881455017862946,0.07312296967293713
3,-7.7470593,-7.804949,675947,767636.9904358251,769342.51137803,12966,0.025586312599199842,0.025529591449222608,0.025447601,9.664509532508541e-07,9.553174e-07,0.02905701186631496,0.06042232783033834
4,-7.804949,-7.85275,764167,867664.5727769411,868978.820247085,12966,0.022638932850667183,0.022604693626957124,0.022559624,5.163688828072719e-07,5.1297184e-07,0.025705114196242444,0.052878591252753925
5,-7.85275,-7.8940854,849632,958374.9934808208,959460.4363130673,12966,0.020423112177531684,0.020400007399172658,0.020371871,3.144030432479635e-07,3.1321593e-07,0.02303703250348386,0.0472841137843317
6,-7.8940854,-7.9314137,947831,1055553.3797006644,1056528.2874785522,12966,0.018650880550998637,0.018633670516275364,0.018613871,2.1388947283645542e-07,2.1326476e-07,0.020770580409376776,0.04302886230085384
7,-7.9314137,-7.9652686,1031994,1134598.1360281375,1135460.0880309085,12966,0.017180532367379618,0.017167490258336037,0.0171532,1.4932355217200564e-07,1.4879272e-07,0.0188886757093549,0.038033945007817434
8,-7.9652686,-7.997053,1140253,1216804.5280492667,1217619.3118371188,12966,0.015928606076994523,0.01591794726937834,0.015906535,1.1314876178583639e-07,1.12844894e-07,0.016997982026795807,0.034424417311207815
9,-7.997053,-8.025912,1195874,1305959.3864779857,1306680.290980554,12966,0.014852682404091723,0.014844488077067557,0.014836179,8.111610887166501e-08,8.093729e-08,0.016219936214015858,0.03276464067055287
10,-8.025912,-8.053065,1281976,1399574.267776388,1400258.1933299466,12966,0.013924234282302213,0.0139174332939668,0.013910799,6.31169521415395e-08,6.308753e-08,0.015201532633996269,0.031398210677913374
11,-8.053065,-8.07887,1369753,1500379.2233906658,1501041.387949769,12966,0.013100021443633567,0.013094242542403326,0.013088753,5.04580214580447e-08,5.034153e-08,0.01434930239247514,0.029744752857979433
12,-8.07887,-8.103775,1476206,1565461.031468769,1566104.5982808017,12966,0.012356743228447403,0.012351665413175443,0.01234732,4.182157824876594e-08,4.177908e-08,0.013103862198094304,0.026571168854238544
13,-8.103775,-8.127861,1583534,1649404.0344204304,1650038.2334648818,12966,0.011678763721933454,0.011674274940617598,0.011670406,3.494222787230761e-08,3.491222e-08,0.012164563564786105,0.024827173911044238
14,-8.127861,-8.150613,1645123,1760200.2459751558,1760804.1391675055,12966,0.011065218315095557,0.01106142333877553,0.011058281,2.7990027039396975e-08,2.79877e-08,0.011839236336735916,0.02418567316478427
15,-8.150613,-8.172811,1754690,1846771.703889256,1847374.8119172293,12966,0.010506983596908947,0.010503553407152,0.010500869,2.4023376273099245e-08,2.3984216e-08,0.011058363585590618,0.022441242335104892
16,-8.172811,-8.194047,1824560,1936318.9142150045,1936897.6795493031,12966,0.009994221436320276,0.009991235058169422,0.009989061,1.989471020333161e-08,1.9874909e-08,0.010606392774148288,0.02147407872968534
17,-8.194047,-8.214998,1950526,2033649.5945216464,2034241.2369662474,12966,0.00952032250401234,0.009517553595990366,0.009515602,1.7571375951547564e-08,1.7585466e-08,0.009926040462931537,0.020031941092093716
18,-8.214998,-8.235652,2072283,2125955.472267756,2126556.5252882564,12966,0.009074978404613604,0.009072413439555678,0.009070548,1.5515808657603336e-08,1.5500977e-08,0.009310021845471878,0.018743280598516376
19,-8.235652,-8.2556715,2160712,2252047.7924956423,2252645.9919707794,12966,0.008659674126359703,0.008657374514021276,0.008655807,1.3274166239526282e-08,1.3268821e-08,0.009025728556142604,0.018515183995691284
20,-8.2556715,-8.27549,2291664,2330191.0552912387,2330797.6307292148,12966,0.008271424764177134,0.008269272177855237,0.008267895,1.1868425997348373e-08,1.1873383e-08,0.008410482514016016,0.01732622948216879
21,-8.27549,-8.295012,2413401,2452219.3497581473,2452838.786951621,12966,0.007905084021913401,0.00790308768074057,0.007901834,1.0519501345740713e-08,1.05124025e-08,0.008032233350363243,0.016467754491070158
22,-8.295012,-8.314006,2501254,2554580.309444655,2555191.0864307676,12966,0.007562103226341541,0.007560295628216382,0.007559178,9.111739939130497e-09,9.106086e-09,0.007723325979688589,0.015735627324823618
23,-8.314006,-8.332916,2647294,2662591.7572593335,2663222.808938883,12966,0.007239187136912118,0.007237471808706762,0.00723643,8.277407136252179e-09,8.267698e-09,0.007281019788508568,0.014757959767058928
24,-8.332916,-8.351555,2766663,2776055.3714812,2776694.5368866185,12966,0.006932858831893921,0.00693126296188837,0.006930356,7.37511204133373e-09,7.373128e-09,0.0069563947614870334,0.013879578837907046
25,-8.351555,-8.369908,2883351,2907093.111611235,2907742.1232656306,12966,0.006643750048066179,0.006642267154801475,0.0066414713,6.567248474958266e-09,6.560162e-09,0.0066984560672634025,0.013449845689795268
26,-8.369908,-8.388322,3055523,3043935.0930992747,3044619.1115183993,12966,0.006368401232978518,0.006366970478068239,0.006366323,6.073731869934016e-09,6.071051e-09,0.006344249413275567,0.012791923583989928
27,-8.388322,-8.406257,3140011,3137869.831242957,3138538.7675697836,12966,0.0061073279105426925,0.006106026217684405,0.00610539,5.299345281484909e-09,5.3006395e-09,0.006103163332867305,0.012174810527061508
28,-8.406257,-8.424327,3328043,3302920.8385149394,3303635.6345665525,12966,0.005859359320492072,0.0058580915514731624,0.0058574555,4.951673732024414e-09,4.952482e-09,0.005815129191539893,0.011779433079667579
29,-8.424327,-8.442284,3475375,3425730.1723553734,3426462.2627272755,12966,0.005621283355997585,0.005620082324990349,0.0056194724,4.500409582183414e-09,4.4964166e-09,0.005540984785814481,0.011207509191376346
30,-8.442284,-8.459975,3592465,3540175.420689196,3540909.7925230395,12966,0.005395212872327564,0.005394093924767987,0.0053936075,4.0242228367143685e-09,4.020209e-09,0.005316683669847862,0.010660215573959915
31,-8.459975,-8.477983,3831800,3709927.7282942603,3710725.106857892,12966,0.005177998442797784,0.005176885769440985,0.005176457,3.840534591900736e-09,3.8365284e-09,0.0050133096716947646,0.010112660974269728
32,-8.477983,-8.495841,3980891,3844199.33153585,3845011.7998127695,12966,0.004968524874169074,0.0049674750025292674,0.004967104,3.477174827888621e-09,3.4765197e-09,0.0047979208674640925,0.009529615282466021
33,-8.495841,-8.513777,4181042,4041779.6200397364,4042641.3450032715,12966,0.004767949223270748,0.004766932892481068,0.0047665704,3.230198090069377e-09,3.2303489e-09,0.004609138104807366,0.009424965666353568
34,-8.513777,-8.53176,4379460,4190343.1878088536,4191241.3440101077,12966,0.004574804291870916,0.004573823940584264,0.004573451,2.989623152929699e-09,2.9901568e-09,0.004377251989971367,0.008819372269492642
35,-8.53176,-8.549525,4512776,4336131.832280533,4337038.799601712,12966,0.004390318545731976,0.004389400436479435,0.0043890835,2.6869137440920334e-09,2.6860445e-09,0.004218467745795492,0.008332053935210453
36,-8.549525,-8.567237,4688170,4531145.451288467,4532087.51866729,12966,0.004214607587706021,0.0042137315136437795,0.0042134444,2.461283091490819e-09,2.460549e-09,0.004073444435675327,0.00818127530179407
37,-8.567237,-8.585045,4908425,4687642.873728501,4688628.10795028,12966,0.004045743353506673,0.004044893210413077,0.0040446427,2.292732932537545e-09,2.292709e-09,0.0038637648532879694,0.007628867447207076
