,edge_sx,edge_dx,n_lambdas,n_lambdas_inferred_aritm,n_lambdas_inferred_geo,n_nonzeros,mean_aritm_lambda,mean_geom_lambda,mean_lambda,var_uniform_lambda,var_lambda,mean_count,var_count
0,-6.981785,-7.5413656,268663,187712.43253742807,228033.26318968082,1156,0.006350138794149005,0.005227307557356139,0.003547089,4.333172801921191e-06,7.043749e-07,0.004436785117414754,0.004699982327823488
1,-7.5413656,-7.6585326,436432,493769.67083982076,498268.8660443824,1156,0.0024201567462973214,0.0023983035694900463,0.0023603004,3.5099555073246007e-08,3.3183476e-08,0.0027381126956776774,0.002927667896324433
2,-7.6585326,-7.7330446,532660,619541.605901235,621822.6342522113,1156,0.0019304595342877775,0.0019233780408110751,0.0019122079,9.096975216110963e-09,8.926782e-09,0.0022453347351030677,0.0023904828214185727
3,-7.7330446,-7.793003,656671,726032.1506359619,727762.6466404505,1156,0.0016514420180287412,0.0016475151693136612,0.0016418054,4.318168597406519e-09,4.2651904e-09,0.0018258762759433566,0.001959597384908339
4,-7.793003,-7.8409986,725422,825563.5940695648,826824.2735480787,1156,0.0014571863495940823,0.0014549645414226548,0.0014520139,2.156746882030182e-09,2.143491e-09,0.00165834507362611,0.0017879317292230285
5,-7.8409986,-7.8817134,790960,908643.8741047275,909642.3048817543,1156,0.001315146708249604,0.0013137031925481298,0.0013118781,1.2649287028735302e-09,1.2608603e-09,0.0015108222918984524,0.0016096826228395636
6,-7.8817134,-7.9203124,927657,997298.3272357087,998283.2232466979,1156,0.0012002426629129322,0.0011990585157857499,0.0011976575,9.470418660005517e-10,9.422317e-10,0.001290347617707838,0.0013857012386060835
7,-7.9203124,-7.9534636,959883,1088890.2046848247,1089683.3913252421,1156,0.0011047945833512242,0.001103990397189541,0.0011030898,5.920914384948949e-10,5.911857e-10,0.0012532777432249554,0.0013517192271088252
8,-7.9534636,-7.9866476,1132387,1168467.4428843313,1169320.2869814998,1156,0.0010235629647050372,0.001022816428753983,0.0010220059,5.092319289046819e-10,5.081392e-10,0.0010561760246276229,0.0011257077425602248
9,-7.9866476,-8.014971,1120318,1257604.9815967572,1258273.645604953,1156,0.0009533995312881573,0.0009528928815985371,0.0009523772,3.21940819771499e-10,3.2143407e-10,0.0010702318448868981,0.001145850367500996
10,-8.014971,-8.043838,1304703,1344288.0500370215,1345030.5048408993,1156,0.0008926658240895262,0.000892173073905075,0.00089167623,2.93159898734133e-10,2.9286398e-10,0.0009197495521969368,0.0009924835771339252
11,-8.043838,-8.068542,1257648,1426444.1794283658,1427021.1574675671,1156,0.0008391495561219132,0.0008388102683244239,0.00083848793,1.8977043103731492e-10,1.8927675e-10,0.0009517766497461929,0.0010208426549799736
12,-8.068542,-8.093609,1423852,1516860.1754116234,1517491.907909838,1156,0.0007924263682865948,0.0007920964808673082,0.0007918045,1.7423805116938876e-10,1.739964e-10,0.0008441888623255787,0.0009123035856166825
13,-8.093609,-8.117492,1504299,1592844.229063188,1593446.3932727291,1156,0.0007489746820388385,0.0007486916441222318,0.0007484428,1.412987855762099e-10,1.4126655e-10,0.000793060422163413,0.0008429533483146363
14,-8.117492,-8.139932,1555051,1657639.0544235248,1658192.276552943,1156,0.0007100460120429076,0.0007098091196316223,0.0007096111,1.1211763527272701e-10,1.1207864e-10,0.0007568883592885378,0.0007833242397844941
15,-8.139932,-8.163561,1793858,1784994.0897441634,1785654.6349907005,1156,0.0006733915853874218,0.0006731424859243623,0.00067294145,1.1180697138499864e-10,1.1160932e-10,0.0006700641856824788,0.0007275908030896591
16,-8.163561,-8.18385,1679186,1868379.1299927847,1868888.8896432947,1156,0.0006401270388867054,0.0006399524373159896,0.0006398168,7.450129572865103e-11,7.457702e-11,0.0007122498639221623,0.0007593846954195361
17,-8.18385,-8.204637,1857515,1970295.8171250334,1970860.035627838,1156,0.0006105682149573678,0.00061039342127447,0.0006102585,7.113879369128487e-11,7.111891e-11,0.0006476394537863759,0.0006999786756699649
18,-8.204637,-8.225096,1973087,2050674.5781689796,2051243.4762335343,1156,0.0005822474285832845,0.00058208594632189,0.0005819713,6.267306213225965e-11,6.25549e-11,0.0006051431082359774,0.0006453225119463897
19,-8.225096,-8.245897,2159977,2157622.852744119,2158241.622149515,1156,0.00055524068929672,0.0005550815013968844,0.00055496854,5.891661922577001e-11,5.888999e-11,0.0005546355354709796,0.0005950690894525755
20,-8.245897,-8.264811,2106242,2275647.4084375575,2276186.9149900936,1156,0.0005303985123199368,0.0005302727961623719,0.0005301884,4.4447840447255716e-11,4.447964e-11,0.0005730585564241906,0.0006221072024593546
21,-8.264811,-8.284364,2325467,2364858.1285206354,2365457.3671740964,1156,0.0005074300168486953,0.0005073014701734342,0.0005072159,4.348011964648033e-11,4.3509626e-11,0.000516025383288604,0.0005579011740609751
22,-8.284364,-8.303031,2364785,2465119.3100378094,2465688.628662393,1156,0.0004855748746626145,0.0004854627571727734,0.00048538382,3.6290100607542076e-11,3.623847e-11,0.0005061770943235854,0.0005431335643697396
23,-8.303031,-8.323019,2694750,2596593.995811446,2597281.548354785,1156,0.00046445459010742267,0.0004643316396575972,0.00046426343,3.8064894913765734e-11,3.7966272e-11,0.0004475368772613415,0.00048667233343576316
24,-8.323019,-8.341766,2690324,2688082.4961474845,2688708.6480117855,1156,0.00044418279636552116,0.00044407935418474035,0.00044402375,3.062792465263953e-11,3.0624014e-11,0.0004438127154944906,0.0004726085362274951
25,-8.341766,-8.360468,2844110,2808866.5500713894,2809517.6454832535,1156,0.0004254385100529707,0.00042533991623834523,0.00042528662,2.796049681637399e-11,2.7982429e-11,0.00042016658989982807,0.0004474151495283479
26,-8.360468,-8.378464,2890525,2935036.4438153002,2935666.4058797453,1156,0.00040783139252744706,0.00040774387634867843,0.00040769725,2.3792010343402593e-11,2.3787876e-11,0.000414111623321023,0.00044369251550735065
27,-8.378464,-8.396289,3018890,3033069.1165916147,3033707.82728564,1156,0.0003913527698748524,0.00039127037525629114,0.0003912278,2.1494645173426013e-11,2.149764e-11,0.00039319087479172806,0.00041357362554833804
28,-8.396289,-8.414129,3179924,3173514.1776522445,3174183.6082628514,1156,0.0003756088466199441,0.0003755296312718188,0.00037549456,1.9833898672161604e-11,1.9836893e-11,0.0003748517260160935,0.000397982208613347
29,-8.414129,-8.431958,3342001,3312098.8899398064,3312796.6579361684,1156,0.0003604964826462955,0.0003604205519646495,0.000360382,1.8246573949405063e-11,1.8255654e-11,0.00035727098824925546,0.0003810811003467774
30,-8.431958,-8.44952,3453797,3420966.468159003,3421665.74415838,1156,0.0003461010246724724,0.0003460302930002375,0.00034599623,1.631853516839012e-11,1.6318306e-11,0.0003428111148396967,0.00035948670742375126
31,-8.44952,-8.467682,3745323,3615728.3835243997,3616518.8246554835,1156,0.00033215990600193694,0.00033208730777570597,0.00033205398,1.6074389833052166e-11,1.6060901e-11,0.00032066660205274684,0.0003451277444991886
32,-8.467682,-8.484531,3636583,3736353.1179480655,3737056.1544562723,1156,0.0003190276621002631,0.00031896764478066335,0.0003189445,1.2763589412081161e-11,1.2754958e-11,0.00032778022665782685,0.0003496714597108945
33,-8.484531,-8.502833,4131878,3880740.1260190504,3881601.650066183,1156,0.0003063848547930734,0.00030631685247241357,0.00030629055,1.388837932209011e-11,1.3880068e-11,0.0002877626106095098,0.00030462125218992073
34,-8.502833,-8.52037,4136281,4051085.690962876,4051911.342389114,1156,0.00029399526222238933,0.00029393535528291073,0.00029391333,1.1740374640179779e-11,1.1734413e-11,0.0002879398184020863,0.000304780324082499
35,-8.52037,-8.538796,4542586,4232883.4016825445,4233835.974782995,1156,0.0002820772241270318,0.0002820137594161754,0.00028199345,1.1933290389090026e-11,1.194075e-11,0.00026284587677591575,0.0002799476249922686
36,-8.538796,-8.555663,4332233,4412274.472652218,4413106.383854944,1156,0.00027083537241546205,0.000270784317453082,0.000270765,9.217457630180354e-12,9.222264e-12,0.0002758392727260976,0.00029515272425769627
37,-8.555663,-8.57291,4609142,4550573.903676744,4551471.041220378,1156,0.00026040671464374005,0.00026035538604289745,0.00026033664,8.909996666698026e-12,8.910788e-12,0.0002570977418356822,0.00027004924976837874
38,-8.57291,-8.590951,5011991,4783159.597247377,4784191.352233178,1156,0.0002500439250842219,0.00024999000080582644,0.0002499712,8.987989542285961e-12,8.975154e-12,0.00023862772299471408,0.0002553305864362682
39,-8.590951,-8.609292,5301835,4954363.28348305,4955467.856551075,1156,0.00023978863317524108,0.0002397351843236107,0.00023972121,8.543332458241068e-12,8.53647e-12,0.00022407336327894022,0.00023609444670466445
40,-8.609292,-8.627785,5561935,5155906.492823786,5157075.086182648,1156,0.00022983349322749244,0.00022978141295149467,0.00022976864,7.978957055497898e-12,7.975629e-12,0.00021305534854326776,0.00022451674271849209
41,-8.627785,-8.646039,5700013,5356050.955110644,5357233.810069865,1156,0.00022031157094838053,0.00022026292706918676,0.0002202517,7.1437508858114164e-12,7.142035e-12,0.00020701707171545049,0.00021539524907318206
42,-8.646039,-8.664821,6088718,5688765.741318541,5690095.719152401,1156,0.00021111785132527403,0.00021106850557144958,0.00021105805,6.9443680118252265e-12,6.9415363e-12,0.0001972500615072007,0.00021264954341392226
43,-8.664821,-8.683463,6265793,5954085.5864944775,5955457.030148523,1156,0.000202214090225879,0.00020216752365182853,0.0002021573,6.27688878909519e-12,6.2783476e-12,0.0001921544487665009,0.00020839639069526955
44,-8.683463,-8.702491,6628482,6166287.987797508,6167767.626245909,1156,0.0001936335121490938,0.00019358705975224027,0.00019357861,5.995774558606257e-12,6.0003317e-12,0.00018013174057046545,0.00019156496505561287
45,-8.702491,-8.721824,6977209,6482453.550030351,6484059.352427351,1156,0.00018526935684627882,0.0001852234741729188,0.00018521347,5.666400515961717e-12,5.6666876e-12,0.00017213186533469185,0.0001855746717103835
46,-8.721824,-8.742231,7619612,6746192.392628159,6748054.510731173,1156,0.00017698872645623517,0.00017693988661490916,0.00017693223,5.76193910104406e-12,5.7547543e-12,0.00015670089238139685,0.00016691307892508132
47,-8.742231,-8.762193,7723164,7067216.963677603,7069083.296344347,1156,0.00016894910770910764,0.00016890450288193043,0.00016889922,5.023300637202767e-12,5.0224946e-12,0.0001545998505275817,0.00016467543713670588
48,-8.762193,-8.781891,7873947,7323089.268589623,7324972.505267928,1156,0.0001614072909188563,0.00016136579340740687,0.00016135981,4.464759920800374e-12,4.465752e-12,0.00015011531065677736,0.0001572048381456979
49,-8.781891,-8.802505,8504744,7820043.783189439,7822246.109219512,1156,0.00015409120887409348,0.0001540478250332413,0.00015404302,4.456084935792264e-12,4.4553653e-12,0.00014168562863267842,0.00015436434874671097
50,-8.802505,-8.822978,8723509,8069600.961614491,8071842.761816923,1156,0.00014697133174757578,0.00014693051326646986,0.0001469267,3.998875635900304e-12,3.9979196e-12,0.0001359544651126055,0.00014304321323040721
51,-8.822978,-8.844118,9286632,8501155.077707455,8503673.072242152,1156,0.0001400986088494203,0.00014005712471328236,0.00014005312,3.874006196979145e-12,3.872852e-12,0.00012824886352770303,0.00013598549566770152
52,-8.844118,-8.864988,9444959,8922495.858302848,8925071.599506205,1156,0.0001334828302432567,0.00013344430761383407,0.00013344284,3.4275784048375034e-12,3.426361e-12,0.00012609901218205394,0.00013391797847682466
