,0,1,2,3,4,5,6,7,8,9,10,11
A,0.24660995417797604,0.2465472021834927,0.24574913210583701,0.2450682832150996,0.2444535269849463,0.2436384428916365,0.24302274820015288,0.24241596088395806,0.23997041073063718,0.23675498597778624,0.23345279358862692,0.22001579856409909
C,0.19586768315331615,0.19563764802449854,0.1964097774935731,0.1970325634935391,0.19741098120955713,0.19717650040044432,0.1965588487128077,0.1956651324500121,0.1938158543618709,0.18940182871969943,0.18107010176738725,0.15901015890475656
G,0.23500613606374804,0.23632154816370599,0.23716159596899022,0.238660379569365,0.23967632001088077,0.2412203291197338,0.24293299542404975,0.24595716944483678,0.24843894164315625,0.25340017992321556,0.24550199968493322,0.23560649828291685
T,0.32251622660495977,0.3214936016283028,0.32067949443159965,0.3192387737219963,0.3184591717946158,0.3179647275881854,0.31748540766298966,0.3159617372211931,0.31777479326433566,0.32044300537929876,0.3399751049590526,0.3853675442482275
